Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0215108016232577,0.03161739938097929
-1975,1.0370332432046239,0.03167443326053479
-1950,1.056397136628864,0.031774796034359114
-1925,1.067304577820723,0.0317521747503876
-1900,1.0761895530303203,0.031731872329626334
-1875,1.0731981748019075,0.031691303702189325
-1850,1.0773954179551546,0.031692587014885004
-1825,1.0527909701966462,0.03169214805963601
-1800,1.052933347742226,0.03230620762522698
-1775,1.0763996616914724,0.03336010182547168
-1750,1.0862631457711347,0.03439597524796609
-1725,1.0245596814588371,0.03461366502566304
-1700,1.0300991490993552,0.03450287075000007
-1675,1.0118717370366581,0.03374935712457244
-1650,0.9704959776554785,0.03261887358858208
-1625,0.9504144198510431,0.03169964330379102
-1600,0.9690058591827698,0.03142871886243241
-1575,0.9739124669954986,0.03147905845487558
-1550,0.9632595629824855,0.031456639443273815
-1525,0.9651899345957478,0.031517330372694066
-1500,0.9783867627903545,0.03161918351496205
-1475,0.993265641022899,0.031699668449663945
-1450,0.9946626579568579,0.03170461736604488
-1425,1.009272343390489,0.03175963042898612
-1400,1.0241936200015036,0.031797901091405234
-1375,1.0209171546695004,0.03174701616173928
-1350,1.018654731867213,0.03171808380245055
-1325,1.0235522276497697,0.03177122539808242
-1300,1.0332740268769223,0.032027935831844816
-1275,1.0285496539605294,0.03233072192044711
-1250,1.0357880869631957,0.0326401546247799
-1225,1.0111435302371872,0.03260537634206551
-1200,1.0166868299066112,0.032543260065285136
-1175,0.9991583049798216,0.032209728975078865
-1150,1.0024693102501998,0.03187025979636499
-1125,0.9974388963172015,0.031580003717497925
-1100,1.0156313929504932,0.03157013249716259
-1075,1.0106948228678116,0.031618934667580686
-1050,1.0300425849281256,0.031754615800813575
-1025,1.050896567439595,0.031819328716420396
-1000,1.0760452179745645,0.031901471051939065
-975,1.1030541241041047,0.03202031084342025
-950,1.1185399580519313,0.032009126677780386
-925,1.1160536242303563,0.03196668101734559
-900,1.1025525079432785,0.03222938104381023
-875,1.0905931871284884,0.0330683635161871
-850,1.0852215167819304,0.03410497405321632
-825,1.0796630422629248,0.03493941040677889
-800,1.0633845247181035,0.03502131481170694
-775,1.0424222950723412,0.03459113270068294
-750,1.0077290547997757,0.03347215268746065
-725,0.9704410003560641,0.032336191625653515
-700,0.9313928121528668,0.031521116101512016
-675,0.8943445703009436,0.031279765894710015
-650,0.8625883931089224,0.031215550902232717
-625,0.8241789675102397,0.031061393707555264
-600,0.7894641424752484,0.03084391128847869
-575,0.7601216205251513,0.030669403673747223
-550,0.7232365609415725,0.030489664286387032
-525,0.704358344642097,0.030340501149687157
-500,0.6977112943762076,0.030251853441305983
-475,0.6785447975745101,0.030145294311383235
-450,0.652716297347866,0.029999850387148017
-425,0.6489072020614949,0.0298820419595574
-400,0.6276405716032178,0.029736610871202704
-375,0.5937280866369403,0.029639139877468933
-350,0.5619962928414478,0.02959251983553785
-325,0.5570031206238595,0.029690474821696757
-300,0.5225099917579893,0.029972649340328148
-275,0.5202194627403914,0.031114108044475702
-250,0.5296751319267673,0.03259101447389542
-225,0.5415403869161614,0.03438730315559122
-200,0.5769409130819497,0.03685527838091103
-175,0.6498286425983142,0.039951517818033334
-150,0.6720360721944731,0.04132918776634901
-125,0.676588237899269,0.04112611982012795
-100,0.7827830249511886,0.04059647690099436
-75,0.8288356702833123,0.03883666029247479
-50,0.8798548647586462,0.03633566836165598
-25,0.9287031858304429,0.03439760265355652
0,0.9865619810128982,0.03366063457053095
25,0.9593398431949332,0.03326990101258054
50,0.892798210968288,0.0331326602406776
75,0.8369291978195919,0.03354677012343585
100,0.7764061067858695,0.03400954122815172
125,0.7433851190789974,0.034088135041693626
150,0.727787425118223,0.03378878517402796
175,0.8042790721247466,0.03403879351878968
200,0.8616063339963398,0.034354377162428916
225,0.9136385314381799,0.034397873818571095
250,0.9237013822727126,0.0339325967570644
275,0.9727729906738678,0.03358119274385257
300,0.9708754780363329,0.032849785146090035
325,0.9557445134563096,0.032040823752994996
350,0.9420671728380972,0.03152465474542891
375,0.9558765238294994,0.03166637955003617
400,0.94877312280787,0.031984746099258936
425,0.9401017299698794,0.032238138571974585
450,0.9427771511640253,0.03238340958609804
475,0.9484831833370104,0.03241084942046678
500,0.9522528422848683,0.03222319701221031
525,0.972049476324386,0.03202999345048341
550,0.9727067768417906,0.031829255154252
575,0.9839589166209155,0.031716911748108166
600,1.0107995469286588,0.03173127351459511
625,1.019431827814611,0.03171551731326974
650,1.0281143956654566,0.03164022233315864
675,1.033257556107589,0.03155916957917552
700,1.0324455251238192,0.03158452035413416
725,1.0130654174227585,0.03155944470716157
750,1.015732691251233,0.03162463444286416
775,0.9981173156834253,0.03166492186836928
800,1.0111441920142594,0.032002507165561384
825,0.9981552110451878,0.032557569469835686
850,1.0032529250575442,0.03423760321640183
875,1.0144742589651174,0.03687161188590741
900,1.044522159270571,0.040128757919258164
925,0.9463127443469578,0.04166310220448397
950,0.9033659343656393,0.04079533648064765
975,0.9183047932142353,0.03837726642833465
1000,0.9021571858439391,0.0354394745004086
1025,0.9005380806839398,0.03320007378280426
1050,0.9543772528616861,0.032317258197109205
1075,1.0008416950201784,0.03251651469852623
1100,1.007436806744387,0.0327067158395194
1125,1.011034760852776,0.03284702965942573
1150,1.0151759983449398,0.032914963926397166
1175,0.9969057903832226,0.03277260237886603
1200,0.9961471194434128,0.03328620979791999
1225,1.0037726119602568,0.034320426299656606
1250,1.033153739651581,0.035537269188274025
1275,1.0348754489173717,0.036038561115211525
1300,1.058754457012737,0.03618817245148116
1325,1.0679469051066313,0.03541096061787604
1350,1.0667825534955384,0.034356988922866115
1375,1.053705170527004,0.03358259785080511
1400,1.0621224904073763,0.03349059974967582
1425,1.052928124310402,0.033587870504291545
1450,1.0515863704338728,0.033591093438519425
1475,1.0700946106604399,0.03340875406063126
1500,1.087314437596622,0.03305538149423717
1525,1.0944771036709593,0.032690292492927105
1550,1.1046868098049438,0.03255079670233047
1575,1.1112670492452315,0.03265604690372945
1600,1.1063741031285468,0.032756233697193014
1625,1.0915384294328394,0.03279385756419158
1650,1.091972068280551,0.03286319708280738
1675,1.0875669900654767,0.0328766954534332
1700,1.0874705402430347,0.03308806944417185
1725,1.1042682406982969,0.03356411882220862
1750,1.1058229292892965,0.03397049611453872
1775,1.0742856663564189,0.034003638140659376
1800,1.0228725696227803,0.03384510952514688
1825,1.0145967054128502,0.033932146033853444
1850,0.9721407287859668,0.033893962614872965
1875,0.9488671270887246,0.03381925483997128
1900,0.9312107324740043,0.0336267130463238
1925,0.9554116299091362,0.03361439879421295
1950,0.9519981005715894,0.033184623265122566
1975,0.9484020962575563,0.032581675919672225
