Velocity(km/s),Flux(Normalized),Error(1sigma)
-1600,0.838873229294811,0.08099066224218933
-1575,0.8703101338182607,0.08100082941647185
-1550,0.8804179549104302,0.08116900949008933
-1525,0.8808939861183273,0.08131402603943051
-1500,0.8989883224660438,0.08136074332262085
-1475,0.9374285173176164,0.08156389926230204
-1450,0.9769064729556882,0.08175907605788907
-1425,1.024825221825534,0.08191025050322864
-1400,1.0032956013498848,0.08202256088166279
-1375,0.9827777336628122,0.08216580279211924
-1350,1.0053677916890407,0.0822950671795043
-1325,1.0637892658435106,0.08245155266381113
-1300,1.1019792834122422,0.08262184190417914
-1275,1.0954349145899942,0.08272981753126286
-1250,1.0431191383737208,0.08275731182628179
-1225,1.0372979565067826,0.08278364949501826
-1200,1.0589061449090216,0.08276797997778308
-1175,1.0734413176018929,0.08292974914941445
-1150,1.0340071108637527,0.0828133505410466
-1125,1.0087036964199958,0.08282623239846103
-1100,1.0661748163026425,0.08338385257999664
-1075,1.0864650614277604,0.08437835304857802
-1050,1.1000605026480395,0.08458630087543119
-1025,1.0380319811197338,0.08452708786886756
-1000,0.9999027264173634,0.08447764477085891
-975,0.9524925905300443,0.08440567300307193
-950,0.9559904907695965,0.08442686325931782
-925,0.9652319569750933,0.08452958669116228
-900,0.9488246079519985,0.084517024024743
-875,0.9669492394758589,0.0845466284937097
-850,0.984145147618441,0.08455678971409673
-825,0.9242814834604868,0.0845287912545426
-800,0.9522326686621262,0.08469320241915013
-775,0.9362045520992686,0.08455529982484906
-750,0.9656227109060004,0.08470462488040516
-725,1.0000972735826366,0.084787351649195
-700,0.966144954975823,0.08468435743750632
-675,0.962209995287127,0.08348579774313629
-650,0.9489913648861921,0.08316656711666677
-625,0.9640198875678706,0.08321936254891688
-600,0.9554177988540354,0.08306245230477038
-575,0.9771912927858099,0.08308245927743689
-550,0.9631154207108644,0.08303992977992303
-525,0.9286678303736163,0.08296008085704344
-500,0.8411641103806231,0.08273098479241629
-475,0.9014116891335928,0.08287173415452971
-450,0.9224215604824959,0.08284853379160283
-425,0.9157185825092159,0.0827972425562727
-400,0.9317382557690449,0.08278265418152471
-375,0.9158524366245109,0.08285357632308608
-350,0.8643110243925154,0.082763835507358
-325,0.8102180396273587,0.0825538460714172
-300,0.7948242305776491,0.08255188562805223
-275,0.7289291872560721,0.08244829454970158
-250,0.6885847285934401,0.08247346711857488
-225,0.5846767019302439,0.08222631620316771
-200,0.5583680780077016,0.08224168783867485
-175,0.5439062236984842,0.08227338745860452
-150,0.5378690487488338,0.08221019949130931
-125,0.4988216103602534,0.08207817195339392
-100,0.5254643270776979,0.08214055119641048
-75,0.5218425276364573,0.0821188383410925
-50,0.5159733364859184,0.08207476194979513
-25,0.5349434660586638,0.08222268319243746
0,0.5521433938149207,0.08245347469317742
25,0.5939245285289374,0.0825778748000632
50,0.6070120702278395,0.08257560833805197
75,0.6331475131201341,0.08281570104276442
100,0.6396920194876212,0.08291981457476316
125,0.6821606148134151,0.08307142640447039
150,0.7655882680892842,0.0832904594102511
175,0.8558611113950501,0.08351623640773463
200,0.9495285859575541,0.08375953842381645
225,0.9566248170402608,0.08377686304272541
250,0.9792421709668545,0.08386994488039394
275,1.0727857798261828,0.08413485900748949
300,1.1282382669864743,0.08422397614490551
325,1.113097237961098,0.08428867678190138
350,1.0583089797892133,0.08432529763529188
375,1.0834059434088792,0.08442927412052546
400,1.1261742419519414,0.08454068681123714
425,1.1276387290847039,0.08460256141543558
450,1.1169341243553659,0.08456587535986852
475,1.1580247977453502,0.08465081760548925
500,1.1774426441777266,0.08460910738035955
525,1.1658514512007394,0.08462082721075259
550,1.167820884793633,0.08468689439957355
575,1.0745549587448626,0.08454378615800293
600,1.0458465133280241,0.08453213980814253
625,1.012396829782198,0.08460212682578651
650,1.0763570685062205,0.08480260082012467
675,1.033947992475526,0.08483516383051375
700,1.0343345752005322,0.08494611860761142
725,1.0678765683971763,0.0851454161376825
750,1.0661703179293112,0.08521574926890997
775,1.0851604295180215,0.08538684315402897
800,1.021363827804012,0.08532530457718329
825,1.0001067388822225,0.08530183746604154
850,1.0044824132362178,0.08549138102508254
875,1.029797278033703,0.08573671231837848
900,1.0329074563762821,0.08580860831734138
925,1.0725135609036063,0.08591875758026825
950,1.016603215886334,0.08586808444730495
975,1.0822622482547204,0.08593169671486431
1000,1.0927687977359604,0.08601089696412624
1025,1.1436830548482255,0.08607987080286873
1050,1.1768646883396805,0.08622419750470879
1075,1.182940058462589,0.08627572693835771
1100,1.1488796586368457,0.08632814483711447
1125,1.0927822859210319,0.08632481942680813
1150,1.1157896638155647,0.08655525779553483
1175,1.1238629657814643,0.08667622516143321
1200,1.0923671105063877,0.08671533120994669
1225,1.1539298955219925,0.08696106471491204
1250,1.1164579536636565,0.08695731932660877
1275,1.1374094814994766,0.08709880477774833
1300,1.0985508554035606,0.08708534000950237
1325,1.060672024863129,0.087156759266427
1350,1.0369706372222247,0.08720687102013701
1375,1.0392317268887439,0.08736425169004369
1400,1.0356959481010561,0.08757131029789823
1425,1.0033051960955475,0.0876169209550895
1450,0.9946870760004249,0.08771385695389317
1475,0.9916282887394551,0.08771774477203406
1500,0.9598181097069292,0.08765948020186314
1525,0.9303262837773835,0.08762253200647538
1550,0.9038310549770412,0.08758941562264239
1575,0.8898354979410495,0.08750575254399631
