Velocity(km/s),Flux(Normalized),Error(1sigma)
-1600,0.9227657890775445,0.05666136818078632
-1575,0.9800155079712072,0.05680207516602499
-1550,0.9686315218862782,0.05570483007372015
-1525,1.0130717027333733,0.054933491085763876
-1500,0.9993472949265837,0.05429792826776498
-1475,0.9503525426449739,0.05381540696220589
-1450,0.9721773245076717,0.053701792659517536
-1425,0.9844420074077685,0.053675025925549166
-1400,0.9443249788992147,0.05324443577394733
-1375,0.9995320790057861,0.05371440504775131
-1350,0.970170011158283,0.054363366291914565
-1325,0.8919207211409859,0.0545495983085789
-1300,0.9089621453049632,0.05528303508277618
-1275,0.8941591521354296,0.055074016472744514
-1250,0.9142900506533264,0.055105918213344735
-1225,1.0141811641902487,0.054984693034103416
-1200,1.000467920994214,0.0547368748151692
-1175,1.054282896789706,0.054432691929098526
-1150,1.0795029200935522,0.05423413557572576
-1125,1.0963859075834974,0.05414171841922275
-1100,1.123433916628055,0.05399900342192059
-1075,1.0901080183882608,0.05418387662198143
-1050,1.062157313691523,0.05399251605660438
-1025,1.054197453348889,0.05417487258997665
-1000,1.0211225512337014,0.053758572424023585
-975,1.0521718482735314,0.053513744983381746
-950,1.0607346503828583,0.05356890541355322
-925,1.1316716590403673,0.053335679194337265
-900,1.1110291548901308,0.05335820205839368
-875,1.1206342327629213,0.05317040903261417
-850,1.1345179907409504,0.05372146126748939
-825,1.0662606496538265,0.054222762663228466
-800,1.0810791795585397,0.05471428215751851
-775,1.0402287308835636,0.05437035026254451
-750,1.0487297157083386,0.05426562185537595
-725,1.0826669933896997,0.053971387312147644
-700,1.090614788504789,0.05335939656499995
-675,1.0798152475008076,0.05268430637146016
-650,1.0656588110226444,0.051934186520613955
-625,1.0991709757295,0.05176620407198385
-600,1.0836632836580133,0.05184355201752176
-575,1.0890237330315757,0.052430836640632444
-550,1.1140781934745123,0.052762882824472036
-525,1.066649855379817,0.05313430245082196
-500,1.0147098376662813,0.05339284835182149
-475,0.9948151410588508,0.05309091279767145
-450,0.9067354037060665,0.053118414547373774
-425,0.9057538638184411,0.05255170569130386
-400,0.9086058099937548,0.05291243887771702
-375,0.9428298507913452,0.052640380059640994
-350,0.9775054464262217,0.05230574309364674
-325,0.9483076240342367,0.05175463180014812
-300,0.8944705001918851,0.05116745040930004
-275,0.8513996471693506,0.05133066848408853
-250,0.7981024711990071,0.051634399349804905
-225,0.8159039713014996,0.05135936829798966
-200,0.8194824813741259,0.05100873330849719
-175,0.8346095131216826,0.050850556788289196
-150,0.8687452379899923,0.05048961152993855
-125,0.8592322383946364,0.05051167478289293
-100,0.8014066538361225,0.05054069422207869
-75,0.7302522534714029,0.050222661619324954
-50,0.6808683722773922,0.050091146647504206
-25,0.684104775845538,0.049316815729817186
0,0.8312278686470964,0.048946055430474665
25,0.9427723396064286,0.04875253912667466
50,1.0887365022803523,0.04906555483564191
75,1.116743737657144,0.04975320755929695
100,1.0617879492006725,0.05018785425584084
125,1.0494754404115,0.05040829382620616
150,1.0693658299213917,0.05039458086242615
175,1.1464093583023702,0.05076051444047945
200,1.1737008164038827,0.05114999237305448
225,1.161664748172986,0.05144230944576038
250,1.0810706489633966,0.05112316314349229
275,1.0053038221244115,0.05067518373391116
300,0.9814390198316499,0.04991154415959037
325,0.9436267045277664,0.04937148316960389
350,0.9152991638340783,0.048807656219760985
375,0.941980960319044,0.04847943252959673
400,0.9621311308522147,0.048227182068845534
425,0.9590726799794601,0.048101569694700856
450,0.9358214888555643,0.04829519433241062
475,0.9078509157779029,0.04880514673723503
500,0.8611171067522849,0.04930973738132037
525,0.9058961367576469,0.04913404527408384
550,0.932199055685209,0.04886641681432003
575,0.9615885765859711,0.04851814997079043
600,1.0182649464208426,0.04837431917331031
625,1.0499502030129737,0.04861350289622313
650,1.0866795860128504,0.048162361679187506
675,1.0874147673686598,0.048247594901618715
700,1.0629754980550674,0.04800051430475027
725,1.0718845264219918,0.04804314177692077
750,1.0960618319312978,0.04820856306263762
775,1.041163022798697,0.04779026953207293
800,0.9587301862022153,0.0474361673209521
825,0.9386968945840518,0.04732689221303109
850,0.9440931573203875,0.04727403318903129
875,0.9616506776565372,0.04703024582177434
900,0.9743364164206493,0.04679272123803929
925,1.0099406667965705,0.046759329848892334
950,0.998735875020547,0.04707901423797263
975,0.9782030687443303,0.047685461229112616
1000,0.96653733529033,0.04810043703102724
1025,0.9559000321241466,0.047571229410991706
1050,0.9485881396128122,0.0469628491101975
1075,0.9401480705493755,0.04633753398516853
1100,0.9384497555982771,0.04636782093022952
1125,0.9599116008558353,0.0463756247118557
1150,0.9655655290121335,0.04650108901619041
1175,0.9984684191611788,0.04686174803547756
1200,1.0242668214394417,0.046727677379797626
1225,1.0471134088533935,0.04670406237905566
1250,1.052461263108344,0.046268988753283044
1275,1.0462428858740838,0.04589606622071545
1300,1.0090662364350929,0.04546759848413005
1325,0.9970836659780565,0.045189904652292404
1350,0.9708433786157228,0.04480528927628232
1375,1.0005776694300375,0.04481417158471883
1400,1.0416887341792043,0.044826430977644036
1425,1.0667741364375283,0.04475238115336834
1450,1.103235889755131,0.04493804054748465
1475,1.0569862148435434,0.04476964559321882
1500,1.0292827056625697,0.04446690886584425
1525,1.0433933683357324,0.04424836585719819
1550,1.0756746479273627,0.043860108435468594
1575,1.1085408701370623,0.04362852109155459
