Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0290651523948542,0.03313634354555814
-1975,1.001578758935461,0.033199538545394626
-1950,1.0375680766305182,0.033389490418607594
-1925,1.045654227366888,0.03349806702652641
-1900,1.0382523668880872,0.03354091807954846
-1875,1.043374142851511,0.03361684864455651
-1850,1.0548814415616612,0.03366365711775618
-1825,1.0553116574200014,0.033655921717350316
-1800,1.038861761902634,0.033532837053507736
-1775,1.0314629891813691,0.03332160952301891
-1750,1.0410345372273906,0.033086153879144396
-1725,1.0637627923358146,0.032903714627874
-1700,1.047875256225009,0.03271383567223488
-1675,1.0052441426304068,0.03246648564650119
-1650,0.977771523329168,0.03231250641988728
-1625,1.0041513845068113,0.03230985016518815
-1600,1.0397465558298884,0.03228425702717691
-1575,1.031066317744806,0.032114079821691795
-1550,0.9812237954216825,0.03189431847596986
-1525,0.977889497485023,0.031903980939755903
-1500,0.980917736544309,0.03195031238010116
-1475,0.9600952569877075,0.031990250270479956
-1450,0.9379002100471182,0.03205579541843813
-1425,0.9530470375715931,0.03216917548637401
-1400,0.9841119708726456,0.03223244758736723
-1375,0.9939559036297286,0.03218045263495771
-1350,0.9842042562420801,0.032082264944201945
-1325,0.9763993913267927,0.03196371988191801
-1300,0.9853381532779324,0.03193950832767036
-1275,0.9970317249915068,0.03204963498130571
-1250,1.0043278374029023,0.032296668295444794
-1225,1.03359618917432,0.0325800922638995
-1200,1.038187859113657,0.03267607283519438
-1175,1.0437394662582817,0.032555366116033845
-1150,0.9926905779502783,0.03225468475732801
-1125,0.9882792592703359,0.03202783431021147
-1100,1.0005942664718448,0.031961464247798825
-1075,1.0285891497547648,0.032146752855497944
-1050,1.0235122144767896,0.03248279159359283
-1025,1.0035627972277614,0.032800914513906806
-1000,0.9946907820873961,0.03296725321553441
-975,1.0237540897735526,0.03301820967249198
-950,1.0626397134738845,0.03309328316264118
-925,1.0872069452494777,0.03315724876639376
-900,1.0725803243344525,0.03319744089071235
-875,1.0431349787459314,0.03324117592824603
-850,1.0366873419822595,0.03333601380636001
-825,1.0602419769781066,0.03340881078601752
-800,1.0924761600055037,0.033433753816428005
-775,1.098802528960826,0.03338709168787909
-750,1.0927934278828866,0.033428389286804784
-725,1.0756783823443543,0.03346519011172872
-700,1.048737805146983,0.033298771188835896
-675,1.0200462201351632,0.03289692763051197
-650,1.0038792793446283,0.032474894750656035
-625,0.9806321765119402,0.03218207561716099
-600,0.9212375603616206,0.03191464340816693
-575,0.8800898954150765,0.03175486883883065
-550,0.867489419144016,0.03169904530584633
-525,0.831253927367692,0.03164393674298506
-500,0.776710109663665,0.03159668001710908
-475,0.7342899548848113,0.031611600692857775
-450,0.7264417395285081,0.031658207607406556
-425,0.7091545012189622,0.031684946927537705
-400,0.703022646395601,0.03179694723618546
-375,0.6929625851003163,0.03184304751650169
-350,0.6538379911163967,0.03180437006066699
-325,0.6025819044848798,0.031803290888596174
-300,0.5390836043873397,0.03184559666022433
-275,0.47804856539278767,0.03182922293037194
-250,0.3823489167132243,0.03150765199308764
-225,0.3226582026080148,0.03100140965029903
-200,0.30994266883558896,0.030566310895128537
-175,0.30151615592004277,0.03023143310610748
-150,0.2913912681279816,0.03008430216009515
-125,0.27229928964754546,0.030136582727464237
-100,0.2877237341315582,0.030427534326893706
-75,0.3120344434553199,0.03073238969285036
-50,0.352068966802564,0.030878913301793827
-25,0.37825543944412177,0.031044051388836192
0,0.45863798966856806,0.03133692267279462
25,0.5876327553272288,0.03171491230399723
50,0.723994986541676,0.03200181116675315
75,0.8358680044958763,0.03220667150647363
100,0.9531122475862192,0.03242118022349073
125,1.0322524578725603,0.03256046956058331
150,1.04560254559493,0.032597064319550055
175,1.0361392122869655,0.03253531748820253
200,1.0488042510286832,0.0325686844752039
225,1.0424384858965103,0.032659127941663146
250,1.0162774182786407,0.03280857468703576
275,1.0035044622017402,0.033092642439085114
300,1.0001455879874883,0.03340774492803766
325,0.9849941618401559,0.03370635555564126
350,0.9742612579534827,0.03391774528930358
375,0.9689567882514233,0.03403896951412407
400,0.9460603369305679,0.034030493960417366
425,0.9193042045889829,0.033975929198473045
450,0.9177554432645919,0.033981723239549615
475,0.8905682003852317,0.033829326673519816
500,0.8428111221150382,0.03359736859268341
525,0.8260943152091831,0.033459196648808136
550,0.8938156434229253,0.03360040846078459
575,0.9716650369121498,0.03371329931262753
600,1.000847266424967,0.03366253273495508
625,0.9744418809474268,0.03343772997179399
650,0.9568329265215297,0.033216715634358934
675,0.9576048125620084,0.033015102306105756
700,1.0048795118112197,0.03293853146394977
725,0.9998395868723828,0.0328938478935269
750,1.0124327543409577,0.03303751968113629
775,1.0050343925110248,0.03320597356012163
800,1.0129353313442404,0.03337151873557279
825,1.0288190681180815,0.03356735510722812
850,1.011135288072701,0.033750513269484556
875,0.9850318681111655,0.0339091032519368
900,0.9515623299624728,0.03396198844322578
925,0.971948675596713,0.03406549234351675
950,0.963380658888067,0.034065049770250884
975,0.9510563770977898,0.034008911341718864
1000,0.9422864928544186,0.033897716003350946
1025,0.9586946954682362,0.03371409861149526
1050,0.9818750866219476,0.03357717944127897
1075,0.985821883893733,0.03356310819247976
1100,0.9693488543673467,0.03367240690103607
1125,0.9563136530606231,0.0338475664742604
1150,0.9864112899723502,0.03403037551668899
1175,1.0093211597858682,0.034122617244468516
1200,1.0047972189235113,0.034154594260738115
1225,1.0031369979155593,0.0341793882686965
1250,1.018325212956383,0.03421406531736932
1275,1.0324912774142554,0.034260568264362044
1300,1.0494653208407643,0.034324351661450384
1325,1.0466630395061205,0.034276524981156326
1350,1.0449151248683965,0.03423631819311459
1375,1.0535365077343524,0.034301228805741976
1400,1.036378531848361,0.034352400704171775
1425,1.0388829587862702,0.034379224994836595
1450,1.060777956207214,0.03428332299402089
1475,1.0685402055985271,0.034043370692852744
1500,1.027364226705797,0.03373863946540276
1525,1.0223831883109367,0.033609269662689616
1550,1.0368297893175271,0.03364401434515062
1575,1.0300729515499045,0.0337794705170307
1600,1.0204408574230437,0.03401298638666284
1625,1.0136903459139015,0.03428262468371262
1650,1.0143145191462857,0.03444476844642231
1675,1.0260941635483987,0.03454582793389535
1700,1.060005248838834,0.03460820331253316
1725,1.0719818276387232,0.034577348253816025
1750,1.045018274295734,0.034446379021368254
1775,1.011011299874777,0.0343750017718324
1800,0.9747860838226844,0.0343397692974399
1825,0.9892494908409376,0.034554883178107745
1850,0.9998544120125117,0.03471354686166829
1875,0.9904817592269851,0.03476185006422228
1900,0.9666870763957975,0.0346999336730629
1925,0.9829247788098854,0.03471020544735633
1950,0.9965784646076291,0.03462674653155596
1975,1.0060418087010798,0.03443189762897095
