Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0239461950147433,0.07147006703384662
-1975,0.9739046401825366,0.07084734412402095
-1950,0.9538325468715979,0.07045749461798527
-1925,0.867303658165803,0.07001878952763499
-1900,0.9572868508747805,0.06994491262658606
-1875,1.0715028057672795,0.06992155389593285
-1850,1.132843608162277,0.06971847301885815
-1825,1.099054436481493,0.06925978133669317
-1800,1.0565607758401903,0.06876468938129028
-1775,1.0814427650679732,0.06883277512781469
-1750,1.0350879847889767,0.06887157977432991
-1725,1.0944562314559652,0.06942478383758768
-1700,1.0606551381562794,0.0696187506153036
-1675,1.0707479133014155,0.07028209152186989
-1650,1.0224276878963254,0.07072846601765591
-1625,0.8968643401601384,0.07057523345885781
-1600,0.8948888285964345,0.0705803394835438
-1575,0.9272241946073289,0.07119615082076576
-1550,0.8963476683575736,0.07139128442885424
-1525,0.9248635602868785,0.07146182772400331
-1500,0.9953774504999311,0.07108052966007604
-1475,0.9935252056138713,0.07042725593789892
-1450,0.9614812338947422,0.07005081092986562
-1425,0.9100867806506495,0.07008600669856119
-1400,0.8917224343917958,0.07053731308891253
-1375,0.847777024188246,0.0709749162353192
-1350,0.9245939233092854,0.07162179751251649
-1325,1.004632610821051,0.07189189163375768
-1300,1.065874904051745,0.07171815255822592
-1275,1.0298668858765272,0.07121014674507799
-1250,0.9734269729239261,0.07091625823781847
-1225,0.8936058470663318,0.07076062328369277
-1200,0.9386211030800611,0.07104151563824308
-1175,0.9997060621490512,0.07156023147605953
-1150,1.0488719644671016,0.07184845555470719
-1125,1.0729051186099416,0.07180915925180349
-1100,1.0505526122049451,0.07171428751720801
-1075,1.110482393062612,0.07197128093825986
-1050,1.0674023258959386,0.07163890420321714
-1025,1.045519868871382,0.07092925015162224
-1000,1.0438415044022205,0.07042733079206566
-975,1.0848621039823378,0.07022194464961143
-950,1.16040070758729,0.07064597967811595
-925,1.1977740748861727,0.0714338207143479
-900,1.282256485478281,0.07292589423238903
-875,1.1592181806040787,0.07298788971030215
-850,1.0873300187932238,0.07285558866470383
-825,1.1007161135498729,0.07284234669345088
-800,1.1789635434786465,0.073292670015873
-775,1.1571119404077943,0.07310363103257128
-750,1.0654015140993576,0.07234628494973772
-725,1.055414645926513,0.07216986168389293
-700,1.0881990620494493,0.07241179653904337
-675,1.0844532145277856,0.07288847473899038
-650,0.944978871688064,0.0727196791863611
-625,0.8330332394997108,0.07226075840084907
-600,0.8180810989907461,0.07194807059722672
-575,0.8465665656663365,0.07165585518413695
-550,0.9074573038358333,0.07184194138306793
-525,0.8465306151476041,0.07088614712003963
-500,0.7470791518089982,0.070260487153842
-475,0.6931204333712462,0.0701895385207026
-450,0.6782902702902868,0.07080121995964642
-425,0.6324556237548827,0.07121536575311006
-400,0.6063772053034481,0.07114486409345538
-375,0.5869004650335751,0.07083737791210588
-350,0.596043700785994,0.07031729606586681
-325,0.5177963716726323,0.06971601438679777
-300,0.4148687805596093,0.06896051804805425
-275,0.31528020157223396,0.0682075557579946
-250,0.26830423672095666,0.06778805804373059
-225,0.2261163225839053,0.06719382829159425
-200,0.2343433619871598,0.06740028967265267
-175,0.21820416340793572,0.06735264109551713
-150,0.26313374079306334,0.0677261344814958
-125,0.30267108673076626,0.06782455460500302
-100,0.2509747245169289,0.06752372607588038
-75,0.21432909809431633,0.06732189387946273
-50,0.2058692125678152,0.06731474013342537
-25,0.34726494121332413,0.06826507932775709
0,0.4977244468038301,0.06934930081762586
25,0.7408636629373283,0.07056576144924824
50,0.9605229331358468,0.07144439620337954
75,1.116585976187184,0.07196296693635695
100,1.2235647597058252,0.07231046270242045
125,1.2100594635788773,0.07234463804381243
150,1.171896427208293,0.07244449220404019
175,1.0994399566363857,0.07269012423004075
200,1.0977872130600428,0.07315563743660092
225,1.0261382540603572,0.07320504939352974
250,0.9952646930651474,0.0734735744279972
275,1.0306797071163396,0.07417505724886177
300,1.0668309268176794,0.07468788870757247
325,1.0541757929579532,0.07497659818664097
350,1.0215250263582571,0.07491946231896146
375,0.9558054683291196,0.07477745391710233
400,0.9074207817234256,0.0744924849277586
425,0.890188224266562,0.07423656394517712
450,0.8370166517561175,0.07375991020834333
475,0.8997150628919461,0.07412190848527152
500,0.885471944488718,0.07361467586915753
525,0.9467443191842198,0.07325909511004783
550,0.9962927245424905,0.07297061395584162
575,1.0880374497861778,0.07302145251507672
600,1.0706822012879358,0.07259761874988618
625,1.0786411532435554,0.07254706724477109
650,1.0593385248776461,0.07317693229399863
675,1.1044042694420801,0.07412600295796065
700,1.0607830889989338,0.07480957730795784
725,1.0002939378509488,0.07497777298951042
750,0.944787550192726,0.07499973388239244
775,0.9643843881521236,0.07512265872222522
800,1.0331379335868587,0.07513813966813764
825,1.0252854058431051,0.07453560068488549
850,0.9499446429055506,0.07398930307785172
875,0.8967288959335318,0.07388977665678666
900,0.9343393202321818,0.07436331392291967
925,0.9502460166374619,0.07473755719787671
950,0.9653244745606525,0.07534559512795669
975,0.8750713781638192,0.07590465664484848
1000,0.834054195178069,0.07639981051088984
1025,0.7971557608918625,0.07654427309354886
1050,0.9488419039881081,0.07734902803221218
1075,0.9668225897114533,0.07755638103160148
1100,0.9503636565924825,0.07739981555926796
1125,0.9922582820227663,0.07719374522420105
1150,1.050929649107825,0.07694843864595007
1175,1.1713004831956462,0.07690251584155933
1200,0.9890898121586601,0.07575076608694396
1225,0.9382766276883313,0.07508233155369233
1250,0.9897096262577035,0.07527667632258689
1275,1.0984665871763266,0.07618582985248101
1300,1.1128489868410179,0.07680166810081318
1325,1.1764053934929928,0.07729090794420973
1350,1.16829409165139,0.07765405114877057
1375,1.285276874085797,0.07819188153167905
1400,1.2412174047080877,0.07812867775321758
1425,1.1760298793789552,0.07793648106615078
1450,1.1132815100309683,0.07792762152079152
1475,1.1323938078758455,0.07823827091568367
1500,1.0967002157376509,0.07831451648608426
1525,1.1035503307213306,0.07805265434428739
1550,1.1143274277689035,0.07745439788018287
1575,1.1107971328118156,0.07638694784269669
1600,1.0583928096910602,0.07525226324696642
1625,1.0571034294109578,0.07470633438664576
1650,1.0459910803940167,0.07480113720895723
1675,1.0049539900051545,0.07516981479802548
