Velocity(km/s),Flux(Normalized),Error(1sigma)
-1400,0.9425060620814755,0.14786418094994358
-1375,0.919665985858214,0.14783131483340195
-1350,0.965039077804365,0.14758982784662922
-1325,1.021976875841251,0.147005447238832
-1300,0.9740161756168771,0.14635113389540244
-1275,0.9716449952041075,0.14610986516123578
-1250,0.9329743307887884,0.14581666322825118
-1225,0.96465465044267,0.14592956480436253
-1200,1.055939536967591,0.14611930897221834
-1175,1.0591124767428979,0.14574558213296532
-1150,1.1417877802734206,0.1455326072724149
-1125,1.135403781865949,0.14519768016542442
-1100,1.119877477694177,0.14505357564008511
-1075,1.1220961053486431,0.14492190766038313
-1050,1.03918132473991,0.14456260714279692
-1025,1.0352609535054502,0.1441262854090611
-1000,1.0804117891754093,0.14368790887604932
-975,1.098796639666676,0.1433021681826024
-950,1.150936657554309,0.14303128442184945
-925,1.1494998896986695,0.14289455826888797
-900,1.1306564091341884,0.14285126059635914
-875,1.1311750586144647,0.14315601207893208
-850,1.1298509850489056,0.14345534492300516
-825,1.152752641864247,0.14329319075097963
-800,1.1075399480506016,0.14281155093713122
-775,1.049712653708944,0.14218166441129007
-750,1.0286686672937562,0.1418947556386816
-725,0.9852914940167045,0.1420864303092268
-700,0.9618799324403099,0.1422398783887631
-675,0.9279048340250846,0.14209527632515379
-650,0.8299972341368969,0.14136492283253782
-625,0.7412680353568328,0.14058201131643722
-600,0.6507067529796401,0.13984618807442484
-575,0.6172742989406275,0.1393884474149965
-550,0.6396448937006463,0.13927946465636812
-525,0.656123794768413,0.13919573998372342
-500,0.6433385735771447,0.13900376951534488
-475,0.565145800377443,0.1387206788085307
-450,0.4991361002661973,0.13835548420939656
-425,0.45045637405425176,0.13799749564707955
-400,0.41015342410648764,0.13765558338585265
-375,0.3597645389831284,0.1372096782674852
-350,0.35968571718934556,0.13688752739806453
-325,0.3385065947007438,0.1366361236682375
-300,0.3508830791411607,0.1363839265031165
-275,0.37845948386791817,0.13604909650432356
-250,0.34359507321317556,0.13547698575138023
-225,0.29416328687157695,0.13467733669324938
-200,0.20911245103602816,0.13400337885667982
-175,0.1825548290013159,0.13348361911804527
-150,0.2072513500899007,0.1331276125504138
-125,0.26849172289885775,0.13303341813070388
-100,0.2813585594154909,0.1325641329375961
-75,0.2796510671199606,0.13263822162122932
-50,0.2447215400005417,0.13295425424320906
-25,0.21168761200609465,0.133329805066876
0,0.19660411861229027,0.13384344992030028
25,0.2649496583548354,0.13415863991882024
50,0.32834750568629584,0.1340284920611976
75,0.3872595202982299,0.13378872223789132
100,0.5047154799946937,0.13335762212972554
125,0.5971227472046439,0.13290445929274808
150,0.6683870149468166,0.13268109169758532
175,0.7510286454456055,0.13275252967505743
200,0.8105783649709776,0.133098157928859
225,0.8794035158310224,0.13369644084312549
250,0.9117086330898441,0.1340010655757656
275,0.9383375608596028,0.13435558109148915
300,0.9790002100243658,0.13447437045634553
325,0.963935456193194,0.1341366074174822
350,1.03788506323253,0.13398457691202537
375,1.0268886645134305,0.13331570889757408
400,0.9635981675255914,0.13284735168350656
425,0.9360933726032616,0.13259059160222195
450,0.8822347107543089,0.13239485562300676
475,0.8734179927796468,0.13240446477567958
500,0.9588635820148602,0.13247201436168085
525,1.0082541227843762,0.13225557433703664
550,1.0258389554647387,0.1320184220507689
575,1.0502902807159122,0.13169829719189713
600,1.0293116948868495,0.13131877471294898
625,1.045008381527316,0.13129889990313698
650,1.0676084530214562,0.13109469215861785
675,1.0736492935292183,0.1307863444855867
700,1.074261890855981,0.13021591835645252
725,1.0391440004305645,0.12967817727945202
750,1.0091531757102183,0.12939151063161242
775,0.9917458772156236,0.1288221863546898
800,1.0334301886733195,0.12884491103774795
825,1.0422723580052429,0.12857959431618063
850,1.0825499807093637,0.1282252152490097
875,1.1258446114464176,0.1282430278027929
900,1.0617154348903792,0.1279027395409752
925,1.070289351494932,0.12792379258530986
950,1.0426480430943303,0.12798431810381133
975,1.0284746810770848,0.12816101126548246
1000,1.029144658897308,0.12823833489314368
1025,1.0150655860159177,0.12822528864886112
1050,1.017149492553043,0.12794501534402836
1075,1.0307830386232004,0.1277311574331842
1100,1.0473006347955591,0.12759979134435293
1125,1.0785828291131008,0.12736178321712485
1150,1.0956595941920872,0.12717196143542128
1175,1.0749893246125222,0.1267176424790615
1200,1.0396949280774024,0.12606123319062254
1225,1.023316862629834,0.12568616581219821
1250,1.0581426372848821,0.12578218648781725
1275,1.1140861539297198,0.1262679160624962
1300,1.1446390089929521,0.12678307703983271
1325,1.177064416983549,0.12707307272838417
1350,1.1596394826540026,0.12681420951424419
1375,1.1231385561159557,0.12613611617184328
