Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0977254371859706,0.0521424240248296
-1975,1.1261633958112138,0.05238259152176904
-1950,1.1415763770480483,0.052776284690003804
-1925,1.1219368043705413,0.052531215809432916
-1900,1.0599509868220938,0.05248076495654388
-1875,1.058436688331464,0.05223326128873922
-1850,1.09650476704552,0.052305556223804714
-1825,1.0986621607585805,0.05249692088136113
-1800,1.1392441784586855,0.05229946979288821
-1775,1.1490045540919147,0.05220117640993146
-1750,1.1984270032653164,0.05234685052945767
-1725,1.0665578221267042,0.05203633220424044
-1700,1.0363399824163835,0.05195812057862091
-1675,1.017121953627937,0.051765644507410134
-1650,1.079718881602797,0.05185405529223293
-1625,1.1195413726400898,0.05194142160211156
-1600,1.0287993256836119,0.051575768916653476
-1575,0.9932503106940778,0.05183359710023932
-1550,0.9874594824796185,0.051732108249002935
-1525,0.9486518101998076,0.05167890530510862
-1500,0.8927710368920004,0.05128568318764856
-1475,0.9631617693489405,0.051584664504043705
-1450,1.0017447780661217,0.051465366570529344
-1425,0.9944361786303075,0.051477241785703294
-1400,0.971049350408458,0.051272948346582664
-1375,0.963062676619599,0.05136873499438216
-1350,0.9970026489767729,0.05130632181102533
-1325,1.0278543060908547,0.05132234440279682
-1300,1.0059142466281605,0.05147329922940645
-1275,1.071711217386436,0.051921844070759116
-1250,0.9997543123270206,0.05175580557214529
-1225,1.0412037053747714,0.051697618492005104
-1200,0.9697775926943956,0.05172500804630371
-1175,0.9906602676071282,0.051811799812676695
-1150,1.0236786037214074,0.05188913232742451
-1125,1.1004980790538172,0.052191613749886456
-1100,1.0690876755760388,0.05192517212186192
-1075,1.1272724479828413,0.05183404048114062
-1050,1.007808399673174,0.05114732969869836
-1025,1.0015693108496109,0.05153417040310413
-1000,1.1328052141069365,0.051681332846936684
-975,1.0540394102851716,0.051497423191588794
-950,1.037240125326911,0.05160071049721681
-925,1.0866026048902848,0.05193922629733501
-900,1.0525462890952195,0.052394432783924576
-875,1.0408567764171528,0.05250873199356936
-850,1.075473482513737,0.05267377899736368
-825,0.9906528075030826,0.052165114264037526
-800,0.9716329000410749,0.05213518831353493
-775,0.9883412830630685,0.05194730184632519
-750,0.9473465100314684,0.052018409559698275
-725,0.9367775948795151,0.05246053492503977
-700,0.954948662181401,0.05254716292210047
-675,0.9246464453475802,0.05252128223664905
-650,0.9739188719227007,0.05237696282819211
-625,0.7999740488851845,0.05145399809504609
-600,0.9132725186956704,0.05122163659007444
-575,0.8857911190118244,0.05086102723911307
-550,0.8602923446551431,0.05019915911682711
-525,0.7996409506355919,0.04980732269294496
-500,0.767831043086474,0.04984592618740999
-475,0.7640826106831415,0.04989974232983694
-450,0.7643911602696684,0.049555165467954715
-425,0.8035547227651347,0.04992415092139233
-400,0.7482942337302033,0.04949572744669089
-375,0.8715581663569336,0.050249976899868265
-350,0.7345953134567246,0.049637362050581314
-325,0.7701458409834979,0.04976852696827246
-300,0.790995442359882,0.04968196119141318
-275,0.7520303439737206,0.049274935563372875
-250,0.7392239475940969,0.04926004503545634
-225,0.6699593691256949,0.049166005468812154
-200,0.6377959972677935,0.048781214663043984
-175,0.5334800946553558,0.048284306231920426
-150,0.5537622447355681,0.04840450421882678
-125,0.5056418762942634,0.04793783897914315
-100,0.4218266637782456,0.04758574397058902
-75,0.3943571010598273,0.047486004044298404
-50,0.38628686297352294,0.047952861329097415
-25,0.39565018750191927,0.04800597175554206
0,0.4609460436455457,0.04825378034300337
25,0.5108236305414006,0.048560598338814334
50,0.543486863443746,0.048326886186919535
75,0.6735333504660638,0.048744763908438814
100,0.6374264241678874,0.04866191895714677
125,0.6658531816456411,0.04919896455618306
150,0.559920754042395,0.04841500241266558
175,0.49109902437201836,0.04779627982676117
200,0.41071756445067986,0.047101174975429795
225,0.33021698236502,0.046708312876850726
250,0.2685066017038106,0.046394906396849955
275,0.20330628041038157,0.04578124774521463
300,0.177394063665161,0.04549520413535844
325,0.17836647852755658,0.04560802790147583
350,0.18245493563619142,0.04590000086442853
375,0.2246881997704757,0.04622009619117893
400,0.3021057439742184,0.04665166867977932
425,0.40884420720095765,0.04739634202375312
450,0.5631473894098088,0.04838733729521421
475,0.6725412007872827,0.049208551002927335
500,0.7208544514807137,0.04951150692565268
525,0.8349284929957108,0.05012075587147699
550,1.0189903350298304,0.0509301163309751
575,0.9775067229519795,0.0507123963600965
600,0.9626828057809869,0.051062239347340936
625,0.9851204653389606,0.05153884612248279
650,1.0305903664571996,0.05171715444114951
675,0.9990105870314145,0.05150318753440149
700,1.0353234680659857,0.05163724237204507
725,1.0328695535421146,0.05110244871903836
750,1.0775427723231135,0.051090150814630135
775,1.0820602939740376,0.05106956197743003
800,1.0244974398773579,0.050793203616170464
825,1.0087763919507269,0.051052908704205646
850,1.0530151099845846,0.05113311348145104
875,1.0002456876729797,0.05104229788728756
900,1.018873574820559,0.0511295012637014
925,1.0309933833476148,0.051070909672771954
950,0.955595323016053,0.051354580006509325
975,0.994522628270525,0.05548952566438642
1000,1.103403944590254,0.06635660411943864
1025,0.9940483172148038,0.07190459419125542
1050,1.0598889622179588,0.07785295752103778
1075,1.0948478422705317,0.08909027246798953
1100,1.0695200560004332,0.10056258035669881
1125,1.0101412900256181,0.10076048708728275
1150,1.0597396799996956,0.09673356713141745
1175,1.0372261520183736,0.09284973455305721
1200,1.0685129029274527,0.08720294026804766
1225,1.0210944671920557,0.07146031821750633
1250,1.0492085139020426,0.0628836878363061
1275,1.109673389994571,0.06990244522456474
1300,1.0802964569311664,0.08710756764911722
1325,0.9825424952860237,0.0966395651452188
1350,1.0670106831944752,0.09775474817371287
1375,1.1689866370367092,0.09648013772979312
1400,1.1053898626446441,0.09372194791574462
1425,1.0380365808959457,0.07932533008166509
1450,1.1588281597908923,0.05954184383904564
1475,1.107838108033776,0.05315487409123764
1500,1.094344518468005,0.05209020083373965
1525,1.1200155514783265,0.05261516254941578
1550,1.1069587351991446,0.053787833390631215
1575,1.0589997872603907,0.054264540077595444
