Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0467533561588191,inf
-1975,0.9389369749339311,inf
-1950,0.9388981456318548,inf
-1925,0.9918962384470447,inf
-1900,1.1198643456563302,inf
-1875,1.1790468955896718,inf
-1850,1.2170102254889295,inf
-1825,1.1728881492120313,inf
-1800,1.2061276915448274,inf
-1775,1.1944669748282584,inf
-1750,1.3791743516036243,inf
-1725,1.2611858001197824,inf
-1700,1.0782710806367275,inf
-1675,0.8178607117843658,inf
-1650,0.6750473247880242,inf
-1625,0.6790243980226519,inf
-1600,0.8151334417659326,inf
-1575,0.9565945950496071,inf
-1550,0.8707141721173063,inf
-1525,0.710952223782028,inf
-1500,0.6104512242440076,inf
-1475,0.6784728781221511,inf
-1450,0.8268704169895933,inf
-1425,0.9638250410464976,inf
-1400,0.9825091927158166,inf
-1375,0.902259532002561,inf
-1350,0.82702174184405,inf
-1325,0.8559873170339597,inf
-1300,0.8954741684474647,inf
-1275,0.9629125256530319,inf
-1250,1.0746451909771682,inf
-1225,1.0383746892799859,inf
-1200,1.0659164805744792,inf
-1175,1.0435044585827338,inf
-1150,1.172457734146971,inf
-1125,1.047732411791893,inf
-1100,1.033577372596208,inf
-1075,1.0529485106865837,inf
-1050,1.1242667625180396,inf
-1025,1.20370347356403,inf
-1000,1.1836656277726731,inf
-975,1.1716703784374805,inf
-950,1.055852583517656,inf
-925,1.126755785151138,inf
-900,1.2331922393154855,inf
-875,1.327753926735163,inf
-850,1.2323197774675663,inf
-825,1.0697343530864813,inf
-800,1.0359508263844446,0.14384103149260152
-775,0.9422254939883292,0.14398874493809619
-750,0.9345519099586092,0.14267605578112763
-725,1.0580809129111635,0.1426455872771163
-700,1.2055007013697079,0.14302907265736473
-675,1.1910966955684645,0.1434834144227865
-650,1.061012269510471,0.14273727337511535
-625,0.8844799524843184,0.14149285814045212
-600,0.7613759937005631,0.14037465506789512
-575,0.7667314802530821,0.14024803321123833
-550,0.7281108181546035,0.14024651236362176
-525,0.7118300859563844,0.1421286504870011
-500,0.653362250279694,0.14543307202049824
-475,0.6421437787837142,0.14968505469190402
-450,0.5909056968135177,0.15213580446431949
-425,0.5536198210487678,0.15135595936051777
-400,0.5394804612860274,0.14722573110831813
-375,0.6107183811965666,0.14304598769646454
-350,0.580634937325144,0.1402978270018257
-325,0.5043294178680595,0.13902771760934315
-300,0.4053296076385969,0.13861132544332583
-275,0.44985059532612676,0.13906921017817475
-250,0.471629560064413,0.1394956959192273
-225,0.5685535589025155,0.141081122495297
-200,0.4225514117860272,0.1441380535350178
-175,0.6041215689865178,0.15292636962762315
-150,0.476178185752077,0.16126242931215498
-125,0.6718797020266298,0.16599796928493118
-100,0.57815423352622,0.16133771914314793
-75,0.6407913357644959,0.15407441988060655
-50,0.7913759347651299,0.14895759709202216
-25,0.9222969011442342,0.14710235395226168
0,1.0543760135223716,0.14720634117961717
25,1.086988146914044,0.1471274709031925
50,1.1600860494610636,0.1465203289751594
75,1.083371886223311,0.1454052246876065
100,1.1497489345710066,0.1454679966000102
125,1.1928656600095173,0.14585706666516307
150,1.127480300556054,0.14590654375465012
175,1.095811168598984,0.14556622395848254
200,1.1182481108889821,0.1460237265592167
225,1.122160163812568,inf
250,0.9172017355481933,inf
275,0.9496675451514601,inf
300,0.9640946916228871,inf
325,0.9465672300898028,inf
350,0.8384654833278304,inf
375,0.6639245529435274,inf
400,0.7382391090397856,inf
425,0.8000634364885917,inf
450,0.9995115952744599,inf
475,0.9880864686265025,inf
500,0.9979425192441451,inf
525,1.0335886685616105,inf
550,1.0929176197932486,inf
575,1.0376049400357075,inf
600,1.1389909815195531,inf
625,1.0194069883584078,inf
650,0.9981013491716672,inf
675,0.772942524598526,inf
700,0.7055110507827739,inf
725,0.6734906487434927,inf
750,0.8089465333017123,inf
775,0.8957294347372637,inf
800,0.9982899565587731,inf
825,0.918230689912887,inf
850,1.1574442867261798,inf
875,1.0772289249063667,inf
900,1.0086757630668417,inf
925,0.9182376643184926,inf
950,0.9539266783384296,inf
975,1.043372305192814,inf
1000,1.1135116035587451,inf
1025,1.1410754280417879,inf
1050,1.0098701198728834,inf
1075,0.9369401806341128,inf
1100,0.7832756703699757,inf
1125,0.6271778958301439,inf
1150,0.6095929132697415,inf
1175,0.8567089635049571,inf
1200,1.11746312883842,inf
1225,1.3325114605391042,inf
1250,1.1595030663320338,inf
1275,0.9379520191036539,inf
1300,0.885789793232206,inf
1325,0.9531543964338512,inf
1350,1.0767224439646932,inf
1375,1.288398218104114,inf
1400,1.4320482247956718,inf
1425,1.2442749523505692,inf
1450,1.097896371270934,inf
1475,1.039395596284235,inf
1500,1.0299443069116685,inf
1525,1.031092760897969,inf
1550,1.1044124633925407,inf
1575,1.0813880401742886,inf
1600,1.1535540736942265,inf
1625,1.0601842775473889,inf
1650,1.1055259800223227,inf
1675,1.0004884047255402,inf
1700,1.0593346472546086,inf
1725,1.0712953276114074,inf
1750,1.0058378421460685,inf
1775,0.9498102776600421,inf
1800,0.9908646800680937,inf
1825,1.239669418367863,inf
1850,1.1251962300840472,inf
1875,1.1572196091019837,inf
1900,1.0817928468153173,inf
1925,1.0630458671757212,inf
1950,0.9787940058682015,inf
1975,0.9332157238478787,inf
