Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.179422968625761,0.06828995541151169
-1975,1.1585716699267898,0.0682999853374403
-1950,1.139346300741266,0.06831535503365306
-1925,1.110960622234545,0.06830068207144487
-1900,1.114512607495509,0.06833239952134917
-1875,1.1343861935120032,0.06828176608878009
-1850,1.141450638292709,0.06836441370618765
-1825,1.145223392386337,0.06849634486459671
-1800,1.1659332291625808,0.06865120006562143
-1775,1.120139243982705,0.06846640927728823
-1750,1.1325852924285742,0.06846199058164933
-1725,1.1460895277306935,0.06830550671680667
-1700,1.1017502664227437,0.06790573832039438
-1675,1.087695009854702,0.06763291745275123
-1650,1.1321898979499954,0.06771416095347207
-1625,1.1270387018685706,0.06757242427902446
-1600,1.0889981124833734,0.06720039380954693
-1575,1.1081465469474128,0.06698332657429742
-1550,1.119633379509221,0.06691676881553463
-1525,1.0785468766090736,0.06677786303710301
-1500,1.069389623114341,0.0668345415572448
-1475,1.0962996201297068,0.06720229373183759
-1450,1.1148600146331058,0.06761078501868918
-1425,1.0712794232046854,0.0676434603614769
-1400,1.047333568748367,0.0676028950907323
-1375,1.0198039307398632,0.06763163658272875
-1350,0.9718939241088509,0.06744648995556635
-1325,0.938822345095716,0.06724034368553745
-1300,0.9705741066846565,0.06719105206247802
-1275,1.0080146826088414,0.06728257602917972
-1250,1.0143688843340957,0.06727137114010372
-1225,1.0236504905804746,0.06742896968177745
-1200,1.0172461006094435,0.06758111507363583
-1175,0.9988184990765943,0.06777337192703482
-1150,0.9753203154672647,0.06779539094348067
-1125,0.9723500809239186,0.06781947877877312
-1100,0.9851263711890745,0.06777558375444014
-1075,1.0131391859803158,0.0677918347063011
-1050,1.0374912596698462,0.06776023918064572
-1025,1.0429299626745743,0.0677989386140877
-1000,1.0628295980981548,0.06787123652837823
-975,1.0607761469174042,0.06789716605513546
-950,1.0497545259463084,0.0678591205168915
-925,1.008479235126365,0.06762416652133266
-900,0.9823947136604596,0.06739655679962557
-875,0.9734431837419723,0.06732501422279187
-850,0.9524916333851943,0.06717772330283064
-825,0.9381708341503217,0.06708754942206112
-800,0.911950114100227,0.0670714165344162
-775,0.8936861988520829,0.06710325771059515
-750,0.8597607639984375,0.06710869393444573
-725,0.8304689371767342,0.06719834687429964
-700,0.795338726041545,0.06725233690128578
-675,0.7443527592010969,0.06714526661101397
-650,0.6669385214341096,0.0669904725810583
-625,0.5901455586280411,0.06660952935328915
-600,0.5374739325999256,0.06623901604977968
-575,0.5012374738158316,0.06590129389634343
-550,0.4847370962878203,0.06571200291827102
-525,0.5097838457047039,0.06578429167585619
-500,0.46994406311526127,0.06559881639013283
-475,0.4404106353132188,0.06544164613392942
-450,0.39360820616989606,0.06528041971321079
-425,0.35571894149445665,0.06519493585958987
-400,0.31555529512656194,0.06492233756520875
-375,0.31025786095115415,0.06491625531576503
-350,0.28900222924421864,0.06491265093524909
-325,0.285805933554675,0.06477743353401359
-300,0.29784029214566005,0.06466582317649008
-275,0.31781945148258606,0.06454587176977108
-250,0.31227651326204175,0.06439080459040016
-225,0.3337155632574964,0.06431439365431059
-200,0.3042138061926145,0.06429243873190528
-175,0.305157183888882,0.0643565612050935
-150,0.2977066004562532,0.06441688490534306
-125,0.3259864783427939,0.06447487038200538
-100,0.3426543004290631,0.06443741362564247
-75,0.42267733431815746,0.06454632836213947
-50,0.46374892820654806,0.06454730256384046
-25,0.5094680907616256,0.06456355501311763
0,0.5204523395202445,0.06449157425885034
25,0.48219334265895514,0.06442164042419776
50,0.3968722004957178,0.06429990129297919
75,0.32272087059730215,0.0640621422028774
100,0.26146122271285815,0.0638589949741014
125,0.2577154939817981,0.06391328969104021
150,0.3334228114606532,0.06423922822034277
175,0.4683342090879673,0.0648078542047061
200,0.587691219575837,0.06547236980835154
225,0.7398489719374156,0.06634489956743958
250,0.9158999511909302,0.06722649674253704
275,1.0609041429370267,0.0679200305885055
300,1.192606265699753,0.06831842313105521
325,1.3251687419170992,0.06866689253856256
350,1.3948869049178192,0.06882769388425139
375,1.3695795337619543,0.06863503444233328
400,1.3372305097067707,0.06832701445175016
425,1.2961098552207058,0.06806479807117194
450,1.2430259970010211,0.06787113831699548
475,1.2102545888096885,0.06771206638211716
500,1.225568549404636,0.06786769644755632
525,1.2306801134639371,0.06810033300164244
550,1.1970340071049235,0.06814441319664849
575,1.1883928603415237,0.06812182725530384
600,1.1677258030044082,0.06796776282408239
625,1.132487103968989,0.0677041365016356
650,1.1218153210401303,0.06745130503935431
675,1.1523666396613117,0.06745778808833186
700,1.1738211358609394,0.067533003273026
725,1.197385996638266,0.06771317432014416
750,1.1885252905160313,0.0676877329171227
775,1.1619854136223187,0.0675462114466618
800,1.1021902561255859,0.0672105004804166
825,1.1120655825598322,0.06713755870954008
850,1.1079170759553973,0.06688513878090875
875,1.1298754647872682,0.066813521623513
900,1.152193001615983,0.06678459020520136
925,1.2026236691517163,0.06682924143399292
950,1.1587610475973573,0.06649116359808818
975,1.143759252875191,0.0662778414284319
1000,1.1139601742942113,0.06595019416249634
1025,1.0840248353951254,0.06566195314433697
1050,1.0392813204194427,0.06545514743360352
1075,0.9927582888096812,0.06531662175893024
1100,0.9216578341367079,0.06512640641395297
1125,0.8573101503600077,0.06492347350149288
1150,0.8624662198110774,0.0649436575927238
1175,0.8377986346597177,0.06482833988043608
1200,0.8589352243700624,0.06487040055408891
1225,0.9173610848344737,0.06507799301273474
1250,1.0063915239089405,0.06538100139609339
1275,1.038063020681125,0.06546999113530284
1300,1.0725999530518227,0.0655185241242542
1325,1.1036134226959369,0.06546612156088864
1350,1.1301864347143882,0.06547336769678182
1375,1.105277651431558,0.06546523671903903
1400,1.074503072720891,0.06541589828270195
1425,1.0544179689045516,0.06542721116431374
1450,1.043555530328035,0.06551228719133755
1475,1.0187686978638004,0.06542478451853206
1500,1.0011815009234055,0.0652906827434829
1525,0.9629321568313397,0.06515286309886412
1550,0.9438585860647605,0.06506228716944237
1575,0.9032450060163746,0.06479655668473946
1600,0.8449421611924491,0.06451593407317097
1625,0.8156064105192533,0.0643571521658897
1650,0.793308641768695,0.06414958491600509
1675,0.7758297592202289,0.06390038091434079
1700,0.7970369201373849,0.06379709117741461
1725,0.8149076018544803,0.06369732069608162
1750,0.8366076697389967,0.06358713705523457
1775,0.8419702316268686,0.06349310549640931
1800,0.8551969090195137,0.06348951518428904
1825,0.8416630707870628,0.06345288342871852
1850,0.8388683321103219,0.06354610049752953
1875,0.8432806841571011,0.06371111775134136
1900,0.8657835093944579,0.06393875143145318
1925,0.9119007265404416,0.06417718705954269
1950,0.9370821809365516,0.06428340342827223
1975,0.9865117890735705,0.06437194163126782
