Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.064090326161372,0.1388162568351621
-1975,1.1027288853814048,0.13905738475620996
-1950,1.1488787310471027,0.14004837795273142
-1925,1.1277437259905343,0.14080368939344515
-1900,1.0946338326823002,0.14098765377827072
-1875,1.0729514269549618,0.14108460642813456
-1850,0.999754620603716,0.14009918973415125
-1825,1.009680929360586,0.14007457691287967
-1800,1.0688970501391055,0.14015650856558998
-1775,1.0842122493144746,0.1396784393552472
-1750,1.059067254530212,0.13998434946916796
-1725,1.0387161745309779,0.1402713291579021
-1700,1.1051877214536083,0.14093949865849953
-1675,1.084539030227093,0.14065173089126445
-1650,1.133109430186601,0.14128644954280895
-1625,1.1078562501120208,0.14090731790921093
-1600,1.1537102645758923,0.14119394273707309
-1575,1.0482343129109846,0.14053893213297125
-1550,0.9792431618733871,0.14022034876245498
-1525,0.8801365065618275,0.13966442277989405
-1500,0.9184544567949757,0.13964155980242945
-1475,0.9616798037871045,0.14001007512388858
-1450,0.9647834633770257,0.13962433390448986
-1425,1.017966237819602,0.1403776738649776
-1400,1.0727401159534784,0.1409381889431439
-1375,1.0270495561817095,0.14124551223523546
-1350,0.962544584290447,0.1408306172105779
-1325,0.9256048905032607,0.1406982430627036
-1300,0.9266826100184123,0.13974517669536798
-1275,0.9343924610270335,0.13975881096894532
-1250,0.9289939365941996,0.13911728903899465
-1225,0.962238572060824,0.13925649441737922
-1200,0.9930359425880337,0.1395946230315847
-1175,0.9919642080066752,0.13971316371563214
-1150,0.9336824088068278,0.13891528243631468
-1125,0.9211438156006154,0.13936493127797808
-1100,0.8721116873115095,0.1391212644934662
-1075,0.7838049826566349,0.1385791467296763
-1050,0.6584085982584246,0.13774617494459546
-1025,0.6559963422326246,0.13811284889452552
-1000,0.6918533453029279,0.13805864036021606
-975,0.6826017975061559,0.1377459746420942
-950,0.7468374864331625,0.13818194759972593
-925,0.9012836187641055,0.1392682541067267
-900,0.9863460503143375,0.13963197127586113
-875,0.9574952113592987,0.13986343540246138
-850,0.9551216491320467,0.14048476293950898
-825,1.0196759863233145,0.1410896529418277
-800,1.0002453793962842,0.14157982945787695
-775,0.992278756823441,0.14186354342656324
-750,0.943571955462286,0.14112976087024057
-725,0.9865102102861445,0.14076262983326537
-700,0.9640522923195289,0.14063300879879612
-675,0.9000265070503666,0.141109422474972
