Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.154174074128914,0.07333130893100842
-1975,1.2349099932524583,0.07412931085212272
-1950,1.3614989378134918,0.07540701544140013
-1925,1.227039397804356,0.07487445052787227
-1900,1.1463565804444942,0.07329941039838005
-1875,1.0999831447471995,0.07165960477443649
-1850,1.020604678379849,0.07020850835422292
-1825,1.0277242970301106,0.06845972800191161
-1800,1.0024606741399924,0.06727378434920504
-1775,1.0327281067780016,0.06833079026803933
-1750,1.081445374931528,0.07033843064226986
-1725,1.0791560882182287,0.07223382352177085
-1700,1.1814461565791494,0.07344890883812286
-1675,1.1606630384044714,0.07266510110306415
-1650,1.2002879385202545,0.0713086928175537
-1625,1.2286254371881544,0.0692946022916778
-1600,1.2481786458403505,0.06927244127989345
-1575,1.2100274247983946,0.0683428139824923
-1550,1.1310848254126125,0.06760902471176125
-1525,1.0864991759753873,0.06715474968337604
-1500,0.9454664324929373,0.06618827381966637
-1475,0.8820575507196209,0.06579459235673168
-1450,0.8703792487002933,0.06610074165662196
-1425,0.8739215307555801,0.06642096399369223
-1400,0.8721638210173976,0.06655219943785355
-1375,0.9462610071538828,0.06703302712317623
-1350,0.9601430723385014,0.06697093027167941
-1325,0.9707564761391337,0.06622004708347855
-1300,0.9573726304465326,0.06571863289887614
-1275,0.9434692114554347,0.06556607891701
-1250,0.9544831790730279,0.06516117755080728
-1225,0.8902628294862768,0.06482970122629178
-1200,0.9501217470574091,0.06575198034712605
-1175,1.003395931465554,0.0666538387448456
-1150,1.088848473120125,0.06716924515142698
-1125,1.1547445050141871,0.06775836046208529
-1100,1.1837867315578234,0.06778802195771641
-1075,1.2467938812463404,0.06753157372734299
-1050,1.1161378663128467,0.06669820654524355
-1025,1.1025195255482338,0.06704143444540805
-1000,1.0514608405289156,0.06693755982550208
-975,0.9824425902972307,0.06655557781809456
-950,1.02461030293732,0.06693107173955676
-925,1.025291786730971,0.06695937630730465
-900,1.0770823669678307,0.06683345764475088
-875,1.1544890766454619,0.06694543144375904
-850,1.1103483302583996,0.06673940586511111
-825,1.0931443687396925,0.06697193090048355
-800,1.116119248184705,0.06841346265130853
-775,1.041659502077632,0.0699659918862361
-750,0.9839782049367428,0.06975250245775963
-725,0.9471397525160818,0.06907865216567873
-700,0.8637813997096101,0.06785478405833074
-675,0.9319692950281975,0.06706330674782403
-650,1.0080195918930317,0.06614923745210202
-625,1.0295486327522443,0.06576150895376347
-600,1.0558433668214564,0.06581080553545783
