Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,0.9846484908588764,0.09664187795603175
-1975,1.0212280479143159,0.09393180724881035
-1950,1.0900646522487094,0.09126870324885658
-1925,1.0652431302871879,0.08923583122246595
-1900,1.0534476410842732,0.08816830831615367
-1875,0.9468509467742419,0.08772566475795093
-1850,0.9095424736116458,0.08782517498841788
-1825,0.9254297313466834,0.08818460402347233
-1800,1.011402654274369,0.08953077578729288
-1775,1.1109123953832596,0.09311104001670875
-1750,1.1205471710775778,0.09834148002749747
-1725,1.1465075766990263,0.10455373434553768
-1700,1.1408805067246612,0.11076861258916765
-1675,1.1212421063418936,0.11432737351661855
-1650,1.1695429143140925,0.11286952214945037
-1625,1.0956399747788392,0.1074803249217041
-1600,1.090857011541235,0.10098382302571081
-1575,1.0832549260767306,0.09521073007119654
-1550,1.1481547647118304,0.09090689635155448
-1525,1.2510911454042513,0.08902860289271719
-1500,1.1891185961669708,0.08832426065965092
-1475,1.133460081795532,0.08795537715179669
-1450,1.076280515642538,0.08773046603085011
-1425,0.9815620219655683,0.0875068908960633
-1400,1.0569105206443479,0.08771845560656652
-1375,1.107382545745252,0.0879598631553959
-1350,1.0456175426968604,0.0879423996142781
-1325,1.0686706011795104,0.08791358170019269
-1300,0.9860633074221661,0.08770187489498849
-1275,1.0978812962015612,0.0878752852935009
-1250,1.2273510411713078,0.0881005844895183
-1225,1.2218926973874473,0.08826807660174588
-1200,1.2136460305683165,0.08839812102987772
-1175,1.0843896728659068,0.08816908978700837
-1150,1.0148762533716489,0.08801976801669636
-1125,0.9670813465298611,0.08786984727283258
-1100,0.9954856572049795,0.0877838181962322
-1075,1.0160446615392649,0.08758189362695767
-1050,0.9495428829344729,0.08738696344498346
-1025,1.0021666011491963,0.08736606782009189
-1000,0.995145100119119,0.08727107813548264
-975,0.9754047056757497,0.08736017799672388
-950,0.9817421058964247,0.08784725533920595
-925,0.9364740585653442,0.08893794797212073
-900,0.8188107873049034,0.09057110936863956
-875,0.8765830768176633,0.09274737809904074
-850,0.8245404188158099,0.09441148224865616
-825,0.7919964806895017,0.09522058831158586
-800,0.8802064815531908,0.09486013227747775
-775,0.8455250774872656,0.09311312215690312
-750,0.8506772608208145,0.0912050192591548
-725,0.9522044506773789,0.08953567712868916
-700,0.9947426402697134,0.0882534233241326
-675,1.0763946033590637,0.08788579471677568
-650,1.1515706769969232,0.08797785597757032
-625,1.1022324353774138,0.08816173840111516
-600,1.1154660071107647,0.08949482655584742
-575,1.0262245280706257,0.09211524799440649
-550,0.9238907050759425,0.09553827483100148
-525,0.8805279700852602,0.09938656548410667
-500,0.6630945637735338,0.10203810896607439
-475,0.49227362796979685,0.10202042628055856
-450,0.3165844324148894,0.09922004485559119
-425,0.22086746162812346,0.09492002357457069
-400,0.13074288782306648,0.09070790688193224
-375,0.07530862492932702,0.08739306612925789
-350,0.13624015595810177,0.08563286679822289
-325,0.2281371043834966,0.08533797191066404
-300,0.3201071452968746,0.08551943889735014
-275,0.44217267740763205,0.08568736186348297
-250,0.4124468977324665,0.08545420571617357
-225,0.28988789012908484,0.08495819328512859
-200,0.2222616518378224,0.08451444930777258
-175,0.21194267408962766,0.0841539147619898
-150,0.24601094453553585,0.08407823803200837
-125,0.3566993354830545,0.08418684112051744
-100,0.3427555076301649,0.08414870074910327
-75,0.2635704417209086,0.08400136556166823
-50,0.18208369531237528,0.08376922999092633
-25,0.11202084749289301,0.08352886116288322
0,0.15090143338920614,0.08345527766380871
25,0.15229246169858734,0.08330729843239226
50,0.07328311152574342,0.08315608447591798
75,0.12563304525603894,0.08330984200525862
100,0.14817637061387298,0.08361107995209253
125,0.21240685643021023,0.08397676529626816
150,0.43509263267740234,0.08457865998586686
