Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,0.9567108838691151,0.12716985857659255
-1975,1.0953127788233679,0.1256381024700842
-1950,1.1521601059738074,0.12163984543485293
-1925,1.1248520013824639,0.11735046973843817
-1900,1.0515069930669798,0.11354874009821278
-1875,1.024630359907051,0.11138766467235918
-1850,1.0298176988243155,0.11082860997557592
-1825,1.0292502031338986,0.11117117612315264
-1800,1.056286505665808,0.11218264354165954
-1775,1.125906826771815,0.11336617046148398
-1750,1.2279370876629658,0.11499914875176365
-1725,1.2200927091679885,0.1158952473038593
-1700,1.172851684965598,0.11574674721857069
-1675,1.0910075687910301,0.11386003879533861
-1650,0.9533831800674045,0.11215480923542077
-1625,0.9241496209009813,0.11161001866722398
-1600,0.9887235801881052,0.11208160267350792
-1575,1.0316675096976249,0.1131677420188188
-1550,1.0473585551052587,0.11510369402225651
-1525,1.1347466893972122,0.1170294037257844
-1500,1.0860468916092936,0.11706664937041703
-1475,0.9861773275021707,0.11653066037944884
-1450,0.9419909060229731,0.1161258808794145
-1425,0.9380994028365778,0.1152173091382382
-1400,0.8701110460779939,0.11390630595962599
-1375,0.8103844165463369,0.11418713070889913
-1350,0.8876797483930187,0.1163268662226874
-1325,1.0646830819086353,0.11887609250276387
-1300,1.202299137190758,0.12019083043947154
-1275,1.2232187841925828,0.12012026134239455
-1250,1.0727170533960952,0.11877539619067927
-1225,0.8886570497529961,0.11695555372247904
-1200,0.8150847910981255,0.11536379826789747
-1175,0.8393846445959123,0.11496324997580477
-1150,0.8830533452188207,0.1157365861589812
-1125,0.9401584560579374,0.11690746491097623
-1100,1.009834821979837,0.11766263212833512
-1075,1.1008326729529345,0.11795661449029471
-1050,1.1694107866860997,0.11851359768663401
-1025,1.1748627332110395,0.1189123961061806
-1000,1.122086703833203,0.11912639991234515
-975,1.0948412913814871,0.11942173927218479
-950,1.0009686895201113,0.11899991615651095
-925,0.8890768021146866,0.11739671720630353
-900,0.9170564913803115,0.11653308126638214
-875,1.0596566785070984,0.1160460120763682
-850,1.0857313759414557,0.11438580081639285
-825,0.9990804291839557,0.11220072875611117
-800,0.958972253892905,0.11160720986932318
-775,0.931925130991619,0.11233022615092769
-750,0.8245275870054948,0.11238603939681222
-725,0.6995071728540883,0.11149980213395347
-700,0.6746796664907142,0.11077657630501495
-675,0.7162235680925222,0.11036752724146745
-650,0.8473305678160362,0.11069518062640502
-625,0.9187465515607158,0.11111687610663623
-600,0.9020099223514421,0.11135727794880829
-575,0.8241564220650092,0.11145380128699081
-550,0.8153295603665341,0.11192490774663004
-525,0.7618494916703372,0.11153574580947097
-500,0.6452471795539312,0.11111571559920928
-475,0.5244222052272715,0.10998199639268652
-450,0.49985149307653254,0.10863672266616418
-425,0.43274097367527214,0.1071076398766771
-400,0.3482167334076951,0.10627181215550528
-375,0.35218159616649813,0.10603533676955615
-350,0.35280057289162836,0.10525731308535616
-325,0.32492817341790503,0.1038922387222357
-300,0.28805861249345593,0.10233877022697999
-275,0.22121170020126704,0.10046862641244714
-250,0.08855680487581818,0.09754674809043232
-225,0.0027764496630187903,0.09522463481701371
-200,0.056565835105071176,0.09510460821988537
-175,0.18291344264577383,0.09636510173199983
-150,0.2174703159238878,0.09663079078324147
-125,0.17057460773054087,0.096229908493297
-100,0.16525640933700012,0.09649089502072768
-75,0.13471265284475076,0.09746130833774747
-50,0.24204820651040773,0.09963217869338084
-25,0.3605612913440871,0.10181497404334251
0,0.4248580229922131,0.10304202216648671
25,0.4521041009500142,0.10330014735455202
50,0.5220606123669307,0.10315711721644846
75,0.5736617929606758,0.10227462874485178
100,0.6344769546136205,0.10120681111011517
125,0.7281807530133906,0.1007852170395296
150,0.8319795967493234,0.10132081284242904
175,0.949097789824989,0.10256656834677501
200,1.0051375448045834,0.1039194044722807
225,1.1778434863775802,0.10675299316200523
250,1.3584281167850238,0.1099437345393778
275,1.4040194832747863,0.11167823018812617
300,1.332389772057218,0.11184738102970815
325,1.371130890966324,0.11225384224240167
350,1.3512171698289184,0.11147894482344949
375,1.443506333606649,0.1114062532604614
400,1.4424693232962453,0.1112146949137312
425,1.3544793117729443,0.11062590095491366
