Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.1515841842651418,0.06918988490964091
-1975,1.1516244896070922,0.06967118990663689
-1950,1.1160224744485143,0.06991253816548247
-1925,1.1610954977000236,0.07011150979244303
-1900,1.1187229341743539,0.06965609440965874
-1875,1.0662849058162394,0.06972096493105098
-1850,1.1154962069653742,0.06973356469401595
-1825,1.1118109282392705,0.06991169725797373
-1800,1.087866978783142,0.0700304011089804
-1775,1.147164144216504,0.07038797849997519
-1750,1.129128785185939,0.07016583278950994
-1725,1.1192299548214266,0.06953239416126851
-1700,1.1031715872267853,0.06876237094427168
-1675,1.0521986352973842,0.06814187463426209
-1650,0.983935811813776,0.06747523411885828
-1625,0.9571310325339383,0.06666956538858507
-1600,1.0545408158503469,0.06755073720604696
-1575,1.0538146834410087,0.06800056447789339
-1550,0.9765519127446189,0.06778141731419211
-1525,1.0074310692566169,0.06815027107409559
-1500,1.057715616061822,0.06907362514320756
-1475,0.97652392890505,0.06930198275302793
-1450,1.005482490278642,0.06919123923000423
-1425,0.9619776424224699,0.06881309758592719
-1400,0.986815273626267,0.06861694900654466
-1375,0.968381495851157,0.06826194632865731
-1350,0.9797783579481316,0.06806804243598313
-1325,0.9705374106106301,0.06759288709202932
-1300,0.9046855099137964,0.06798856118856396
-1275,0.9598406778578943,0.06837421456625827
-1250,0.9994090298776728,0.06895814748988864
-1225,0.9843305280081043,0.06907329212963809
-1200,0.9137312260852297,0.06911857590373716
-1175,0.9364684131513356,0.06921912999153647
-1150,0.9869031464261278,0.0693044800220924
-1125,1.017738707522701,0.06897557793630757
-1100,1.0252956951228822,0.06888699264633028
-1075,1.0309119036797771,0.06878269270660355
-1050,1.0162900480090116,0.06891690104294379
-1025,1.0503534702763684,0.06886284222015453
-1000,1.0301512043999639,0.06900452043962224
-975,1.0475699389252433,0.06942320129794073
-950,1.0921427584319043,0.06969756945129042
-925,1.0609751539607417,0.06984045879369433
-900,1.1260985505689982,0.06963753604435419
-875,1.119114415426811,0.06968032698018624
-850,1.144972320485064,0.06988002224734181
-825,1.068623976282927,0.06934631806141221
-800,1.083613260509322,0.069283997247937
-775,1.0441277263393745,0.06930812135612889
-750,1.0851091675721949,0.06911016293528646
-725,1.0820926103996253,0.06930136291104383
-700,1.0460338678752963,0.06952634207878873
-675,1.0005909701223274,0.06915761194406324
-650,1.0443636293565528,0.06923331509297907
-625,1.1259691218356545,0.06913949826906875
-600,1.1484074566420306,0.0688858742203953
-575,1.0929119561189664,0.06813999783703693
-550,1.0633952027319094,0.06789362036848838
-525,1.0641436847975083,0.0681587576410481
-500,1.0465526151757083,0.06845961181684704
-475,1.1080353937342764,0.06909659368434205
-450,1.0247705027985752,0.0688683295497275
-425,0.9917294751510506,0.06895877792806684
-400,0.9171147831625718,0.0688492396288937
-375,0.8071363889611279,0.0682216102228868
-350,0.767614256293806,0.06750783792216837
-325,0.8522254280080234,0.06682358457030643
-300,0.745106826819019,0.06570108475651883
-275,0.6470808017838409,0.06501750254660699
-250,0.6468323333141278,0.06492311692828627
-225,0.6091178941678637,0.0650628803039247
-200,0.5481513392795736,0.06468602693659965
-175,0.4923553701107741,0.06487972101750773
-150,0.40428597131290867,0.06460971637975091
-125,0.3885854945045819,0.06437250027799349
-100,0.2222046884630057,0.06358428409636718
-75,0.18899871978555083,0.06288636644547572
-50,0.2013554670676985,0.06240098155113718
-25,0.22051286108346102,0.06221129153839858
0,0.21082579294294335,0.06236023488390624
25,0.2494280746571436,0.06252123022286417
50,0.2307759807127102,0.062255444766807465
75,0.3040408134619965,0.06274532092034767
100,0.20334925726421443,0.06265231062644082
125,0.2020388599087113,0.06287395102719355
150,0.19729919120871514,0.06311819548693744
175,0.1490272510843128,0.06246218511505268
200,0.16401651237268078,0.06273073246129676
225,0.12242727408236588,0.06323586010288293
250,0.09814235428109325,0.06288448346792821
275,0.04678044550842846,0.06263790157855796
300,0.05324291481605415,0.06271534666372884
325,0.08601020903614805,0.062480688992205005
350,0.123172352825016,0.06281408588843262
375,0.15595123056169857,0.06294506709987947
400,0.1894300169972561,0.0633716245375313
425,0.18880081036291474,0.06383673460556366
450,0.2735003041333663,0.06440367962442513
475,0.35204739818185043,0.06465095166711277
500,0.420249401097634,0.06518214929327264
525,0.4751600812409277,0.0648914528156323
550,0.4711069431680874,0.06443269657417433
575,0.5343732476604562,0.06453739108780007
600,0.5833788906578129,0.0645576019810823
625,0.6103687912508943,0.06432958169993346
650,0.6061055666756981,0.06397722921439447
675,0.7545568483167798,0.06463855863469767
700,0.8320745387133112,0.06509322437852123
725,0.9556518862419235,0.06588411651197232
750,1.0098306853658285,0.06687176273352713
775,1.120672409025301,0.06810225665606656
800,1.1244388225469286,0.0685893108907033
825,1.1349563079550455,0.06890142773329495
850,1.1049117372997523,0.06847394797358616
875,0.9758642611357173,0.06813160902912663
900,1.000750508338921,0.0683704963535993
925,0.9967214618354161,0.06844111248859705
950,1.0143198822883728,0.06841574295274774
975,1.0837108925103203,0.06845388924509148
1000,1.0651870507911583,0.06823355284054529
1025,0.9927200256660617,0.06781347482625293
1050,1.0535106023294998,0.06801458183115293
1075,1.0774381103632282,0.0680743265603964
1100,1.061486751714783,0.0676404238325347
1125,1.1301713348023936,0.06769022399432861
1150,1.020507101524476,0.06700313730814349
1175,1.163922757838535,0.0672930632948358
1200,1.158381084674172,0.06754864578730772
1225,1.1198363527541606,0.06757896384802885
1250,1.1570847256117063,0.06814872166261604
1275,1.1823852097475476,0.06892392644975662
1300,1.1451161200767142,0.06923539901497881
1325,1.127110250763592,0.0692784323094668
1350,1.1080384831877874,0.06952395400507577
1375,1.0838244363171867,0.0696572514584646
1400,1.0730934274128217,0.06994442722266442
1425,1.109799975546392,0.07048544306365712
1450,1.1458914957984754,0.07105445209126085
1475,1.0661229769761882,0.07064224908465958
1500,0.9984893251560295,0.0702531328048518
1525,0.9903585659490445,0.06931877898819848
1550,1.033974773243292,0.06815424841886977
1575,0.9711260526198123,0.06697388650843483
1600,1.032991296167716,0.06694279574736714
1625,1.0037597507847793,0.06684348160810143
1650,0.9722775493824337,0.0672826543325193
1675,0.964650066891968,0.06753209743182643
1700,0.9607663842488973,0.0674665470531541
1725,0.93778135250931,0.06750584249424538
1750,0.9832171181350491,0.06745901002550146
1775,1.024439939487958,0.06738122361037954
1800,1.0162641136175907,0.06742739230149415
1825,1.0284955407406637,0.06748071100886474
1850,0.956045288122724,0.0670111453300062
1875,0.9578851274138451,0.06741081777713544
1900,0.9748237244348653,0.06761324747477207
1925,0.9974134712724704,0.06754760903781847
1950,0.8984326701290671,0.06699312680596325
1975,0.865565105171085,0.0666146215295622
