Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.2826908917619302,0.17471230135578233
-1975,1.350449078273598,0.17451753709528994
-1950,1.3897940244663072,0.17441652967081667
-1925,1.094838756372893,0.1740790011795159
-1900,0.9466337977996951,0.17489282136397202
-1875,0.9795772681148754,0.17666718972897194
-1850,1.1202392509593206,0.17852890382667141
-1825,1.1697043788369732,0.18034858619765978
-1800,1.0356548005655106,0.18185748768708695
-1775,0.9589060718378921,0.18422315282900334
-1750,0.8805853469520806,0.18319533069977534
-1725,1.0979327812966393,0.18232730717520915
-1700,1.140611698456876,0.18086039528461978
-1675,1.2227285336288072,0.18144993800697448
-1650,1.1769320260437715,0.1811383487719536
-1625,1.1377357967518071,0.1806948170295326
-1600,0.9980362703293243,0.180295717619667
-1575,1.0955306677661085,0.18110176322111998
-1550,1.1965722905456637,0.18026579741103382
-1525,1.1920276059455872,0.17837398797985077
-1500,1.1649353052335933,0.17680100039621915
-1475,1.1148080285672086,0.1758880308078578
-1450,1.0627529286959507,0.1759723329925794
-1425,1.0672454554678228,0.1766566632207545
-1400,1.262772624870575,0.17758323294350592
-1375,1.2709869893230954,0.17793388750168213
-1350,1.1130905059622602,0.1780203102069032
-1325,0.9658750583910471,0.17842467262358686
-1300,0.9938426790650394,0.17963160191987046
-1275,1.2150840972830061,0.18188324383303975
-1250,1.6031658217590137,0.18547428711478608
-1225,1.5725833645344884,0.18569658881188206
-1200,1.183226981259237,0.18324731727809884
-1175,0.863003261691697,0.1808956994435246
-1150,0.9301236763988436,0.18006609039730428
-1125,1.1792919108399742,0.18075629580962602
-1100,1.0784305304690105,0.1809520984824779
-1075,0.9765175436824813,0.1829832802867936
-1050,0.9005821557488858,0.18407659554754427
-1025,1.0276216730598347,0.18510206076714134
-1000,1.0269945733228403,0.1831188952186362
-975,1.0019637296706758,0.18167693976102625
-950,1.0057972159670692,0.18140706353936797
-925,0.8818513337297741,0.18098569000828313
-900,0.8124190345199427,0.18097568717248594
-875,0.8392841073907032,0.18209266651229364
-850,1.1218680857823307,0.18361601870621855
-825,1.187513712620472,0.18333661610820678
-800,1.1146732686143108,0.18243927205005134
-775,1.0259250225121286,0.18231293147078922
-750,0.8919901964258022,0.18223792471810663
-725,0.7427412819797011,0.18076222399006658
-700,0.6855807139984071,0.17924082667756008
-675,0.7260757571084991,0.177987818725677
-650,0.6140953468731917,0.17673303167106874
-625,0.48586934278354094,0.17594846470607764
-600,0.5076203485017483,0.17741395010803546
-575,0.6169914206257554,0.1794622907829191
-550,0.484636363721559,0.1808695767117182
-525,0.2910991288680333,0.17972517957959128
-500,0.22725955431086303,0.1796438755631911
-475,0.3570992922186142,0.1798773963566076
-450,0.37596617437530155,0.17955104085090845
-425,0.2971951491436543,0.17868483075503858
-400,0.2773881000403026,0.1785615256560263
-375,0.326548305279652,0.17901694602651488
-350,0.3444962690349669,0.18016516900526192
-325,0.18642480444558548,0.1803967858160619
-300,0.1196288174049756,0.18104298423853388
-275,0.15102879691618273,0.18104032956519414
-250,0.28246441922898746,0.18082005132497872
-225,0.17594511753894718,0.1787365677374092
-200,0.17806865997930638,0.17750701573470803
-175,-0.14114479610738567,0.17594180233145773
-150,0.07075786079891115,0.17768012448594753
-125,-0.02828078632767232,0.17776226806762033
-100,-0.061249422709503794,0.17811454812582314
-75,-0.053192841675680655,0.17988213408224654
-50,0.14856559767058664,0.18291441679166412
-25,0.4188084731537345,0.18428373919064353
0,0.5519929832572128,0.18359056288795675
25,0.574438629978834,0.18248553532500983
50,0.5199628649346245,0.18176950389073498
75,0.5650425199351201,0.18254271300518576
100,0.6669979467983441,0.18369695546929393
125,0.7747049795022696,0.1847384509147508
150,0.6612280312119986,0.18417056621776115
175,0.6593465144617353,0.1844538540616974
200,0.754698468037423,0.1846516549311534
225,0.9745051310061563,0.18682867115398422
250,1.0996489984192974,0.18905220511589674
275,1.1201512246219119,0.1899782657318816
300,1.168515608713073,0.19001523263113346
325,0.9778465704963842,0.18980095212236786
350,1.0556737890213106,0.1909996107596258
375,1.0053299761589398,0.1907950944261447
400,1.1888066295315773,0.190620387625031
425,1.087985956137517,0.1890169775865738
450,0.9098276159490497,0.18759698002923825
475,0.8425651590218506,0.18714400823415067
500,0.976477926439119,0.1878560072855747
525,1.1013202300246536,0.1882658100138175
550,0.9666394384863665,0.18787067436657992
575,0.9104341870667112,0.1884345541811209
600,1.0601350642598437,0.19034219543716144
625,1.1833179238458034,0.1919312412335811
650,1.0986160042931312,0.19211463276535345
675,1.0081046882854439,0.1923566135744665
700,1.0242532722753253,0.19254347638717412
725,1.009373925531526,0.19253794673867405
750,1.0302921595667258,0.1922129885466142
775,1.0265494773814112,0.191910044861777
800,0.9669537761861343,0.19165941008809992
825,0.8784939018180011,0.19172239348768866
850,0.9118223596675876,0.19159683141682568
875,0.954398622851053,0.19122138789132717
900,0.9811440109892524,0.19017571289451973
925,1.0199705918643711,0.18994911839139916
950,1.0279865093470917,0.1898022063683581
975,0.9730615392980877,0.18941295723260587
1000,0.9055704003398358,0.18915018833280883
1025,0.9870958808569666,0.19044834390662943
1050,0.9487865377189766,0.1922202956970931
1075,0.8449381502346434,0.19291515239278975
1100,0.8549624378477816,0.1932895781999553
1125,1.0198937939220094,0.19332911886071413
1150,1.1621196605156612,0.1923691453807777
1175,1.2462784179455908,0.19195875489199427
1200,1.178581703795372,0.19253437651807473
1225,1.0533804802755826,0.19420869172854605
1250,0.9009471097148851,0.19409696714922556
1275,1.0930776756799574,0.19467607729567304
1300,1.2065927251305646,0.19490605001579608
1325,1.1977203839438593,0.1958790977477575
1350,1.1858269575963343,0.19782159569426166
1375,1.2375526289192857,0.20037047728116855
1400,1.3111470014246047,0.20118748362792235
1425,1.3773609203950115,0.20121743301452905
1450,1.3720977699824775,0.19970977984862973
1475,1.2586627440538642,0.19822375088793748
1500,1.2230151886352816,0.19711170255822166
1525,1.210656605679517,0.19631550405105655
1550,1.1821526921098924,0.19482187267897264
1575,1.012641440925594,0.19382261864809067
1600,1.0525417516151656,0.1946285176841481
1625,0.9604952396140815,0.19620264850255345
1650,0.9719212670117895,0.19741946501132862
1675,1.0022015281497956,0.19809980136868502
1700,0.9141776755762435,0.19766896682147672
1725,0.8926410366661824,0.1980171433120629
1750,0.9468681307598869,0.198734384576142
1775,1.1666332793760548,0.2005772254683558
1800,1.3369134274308434,0.20139284404397695
1825,1.4647044566761993,0.20249794581673164
1850,1.2195234438029063,0.20204887901150262
1875,0.9506071801128069,0.2006031314539145
1900,0.9972578511116376,0.19846437331634512
1925,1.2224637577197601,0.19703803772363457
1950,1.1582857993833304,0.19528701302635265
1975,0.9196805757210146,0.19465840912851012
