Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0316516253875996,0.07097994041485739
-1975,1.0036545643800072,0.0709861312922888
-1950,0.9978321036703804,0.07131684566447583
-1925,1.0132704615993158,0.07148027742018226
-1900,1.0005645204199116,0.07178890762538971
-1875,1.0301066532869718,0.0717998497270296
-1850,1.0489697270153315,0.07167688596712263
-1825,1.0290852684927652,0.07193950069831857
-1800,1.0022695235931518,0.07237999044140772
-1775,1.0091735799400667,0.07272878342962096
-1750,1.007006209497268,0.0730523915704879
-1725,0.9889102596521084,0.07358090533758761
-1700,0.9847451513892144,0.07407831534171849
-1675,1.0195496443443932,0.07403408312251226
-1650,1.0122090081191557,0.07444478481463623
-1625,1.0429536609127594,0.07465886071815347
-1600,1.0959843871092652,0.07456502344597955
-1575,1.08670509867344,0.07496974535281759
-1550,1.0486787366799857,0.07567840323449956
-1525,1.0324410901109118,0.07639613301238957
-1500,1.0139072547448045,0.07743491826469137
-1475,0.9980672609098555,0.07805552420677095
-1450,0.9583795929502349,0.0782301773496674
-1425,0.9504492872388955,0.07850308118967532
-1400,0.9615618685980388,0.07846624944136252
-1375,1.0195114860566388,0.07826447846185204
-1350,1.0237308218782,0.07713077468348735
-1325,0.98802259216262,0.07686870922160885
-1300,0.9844418442069048,0.07661195918450144
-1275,0.9771493277349379,0.07663377289471389
-1250,0.935537186284015,0.0764684792646719
-1225,0.9016518381752375,0.0758489653568479
-1200,0.923281326802762,0.07522366893130077
-1175,0.9342757547260564,0.07438882857813861
-1150,0.9280054386223513,0.07354733368436885
-1125,0.945047049340863,0.07344481876001965
-1100,1.018591720318653,0.07339264592533509
-1075,1.029313244848759,0.07295766308809153
-1050,1.0298847226227192,0.0723380758279938
-1025,0.9763972962452782,0.07195249812156122
-1000,0.9540718749465483,0.07199415008906987
-975,0.9538156954827837,0.0721399441881978
-950,0.9333199815126332,0.07177215095281758
-925,0.924475113087552,0.0713354883638734
-900,0.926336007816696,0.07110835308231397
-875,0.9546526663959448,0.0711625792310985
-850,0.9707337888814259,0.07117914328389215
-825,0.9385312443107071,0.07159825910242727
-800,0.9576992772287518,0.07175754302293194
-775,0.956727421053447,0.07159521978067175
-750,0.9343026953141864,0.0712051977905803
-725,0.9086958280940621,0.07143625271386277
-700,0.8707463911216424,0.07177784258276787
-675,0.8396244579580145,0.07231705576277711
-650,0.8387950780148109,0.07282136929350923
-625,0.8487528334270322,0.07312636408472742
-600,0.9013959064912398,0.07354999115410386
-575,0.9174299116932205,0.07380310324556673
-550,0.9234976645744103,0.07427545441013754
-525,0.9106954978181293,0.07460675460446921
-500,0.9089387730357846,0.0746398699753463
-475,0.9140180692827699,0.07460862662962424
-450,0.9248971590636197,0.07464338424247491
-425,0.9167576032305659,0.07462619811261845
-400,0.892091391885059,0.07475867744383675
-375,0.8585652137403591,0.07484231594980101
-350,0.8550647445581095,0.07501497902769703
-325,0.8393776228507295,0.07480540041352492
-300,0.8245539816334789,0.07415235236482196
-275,0.7917320835848948,0.07362023282114731
-250,0.7620937618196219,0.07307148507991283
-225,0.7442905248806188,0.07288132269091914
-200,0.6951963585960496,0.07269897424358213
-175,0.657830292414646,0.07272086590705527
-150,0.6781158249859788,0.07265492030313941
-125,0.6692371279780301,0.07280748574157608
-100,0.6399160917836203,0.07335315734100407
-75,0.646852091057486,0.07329130076516058
-50,0.6681638191934726,0.07335466520132214
-25,0.7595255322427706,0.07320757493093805
0,0.7722756382505097,0.07330917443697783
25,0.8111403633211111,0.07345829292422763
50,0.8263957277422068,0.07403226589224525
75,0.8525637290604358,0.07457051028159557
100,0.8819121089190767,0.0749996423178377
125,0.8746037546258186,0.07553694616607014
150,0.9558801204445414,0.07574519123822553
175,1.00415253174973,0.07613761059449939
200,0.9703471459976297,0.07635003541879869
225,1.0352301857458757,0.07631199810340182
250,1.0574496474093207,0.07598918278810557
275,1.1231539022446215,0.07632805481435719
300,1.1402025947082584,0.07664829916933391
325,1.0705430272922056,0.07686125433956986
350,1.068143945196108,0.07685276825272332
375,1.1051120440152158,0.07671643365808382
400,1.1462099527387892,0.07670609392766882
425,1.1906213497040656,0.07651856056304628
450,1.1868483446981428,0.07681640935609751
475,1.1946108050574282,0.07695448002376838
500,1.1651579709671116,0.07688169012547041
525,1.1698808591107361,0.07624939515323227
550,1.1806527555910713,0.07654605121583946
575,1.1417424910489684,0.07722790215340185
600,1.162928586854388,0.07762938081106602
625,1.1057129103422554,0.07799738743032218
650,1.0864943340789313,0.07771500196551885
675,1.121010191066063,0.07753404149868634
700,1.1018968309239303,0.07740699085603296
725,1.0936702909738727,0.07712921692045892
750,1.0729382796165992,0.07696891633770947
775,1.0316118130010825,0.07699835037078229
800,0.9994354795800884,0.07687403936726298
825,1.0415155605364212,0.07636542954757244
850,1.015306814442594,0.07657059681300103
875,0.9872601549580112,0.07715935130660961
900,0.9785882484388471,0.07709357971396874
925,0.9787649664478842,0.07653029983956783
950,0.9346639915371119,0.07594062990291926
975,0.9646076784669667,0.07508544247690295
1000,1.0137993062515285,0.07462052659709585
1025,0.9682496446811995,0.07505526614593483
1050,0.9321985995772101,0.07521562043668545
1075,0.9195774207367421,0.07549774261804454
1100,0.9263756354921796,0.07572039001684441
1125,0.9534261717531616,0.07559795887978489
1150,0.9968588739731131,0.07553446442510535
1175,0.9918852559342137,0.07550798831097566
1200,0.9676741885125434,0.07587275251910637
1225,1.0050721286429305,0.07567091741308536
1250,1.0294551996402326,0.07532577154316715
1275,1.0352982173590985,0.07489758941316704
1300,1.0401773929567655,0.075018477387158
1325,1.0315019939511594,0.07536205461029165
1350,0.981265126057327,0.07548344216681245
1375,1.0500225907291567,0.07508691651854567
1400,1.0603454025805763,0.07479801243848534
1425,1.092214861755414,0.0744464395216433
1450,1.1168723370917477,0.07463093228575025
1475,1.1128687542490643,0.0746323464172333
1500,1.1151846971424109,0.07420911652868228
1525,1.1072021456738452,0.0738571734708071
1550,1.1486821122139634,0.07318271140681118
1575,1.1234869887152559,0.07317125435678243
1600,1.1201620996527444,0.07352155521184915
1625,1.115996739270831,0.07361647409100568
1650,1.1047672874592644,0.07366925738967281
1675,1.1334234127318061,0.07303917275537122
1700,1.1389620968513796,0.07284481719486495
1725,1.1239074836562077,0.07316568519950693
1750,1.1278484403315392,0.0736339764900348
1775,1.1124770285329002,0.0740457823727492
1800,1.1277501818518314,0.074078221365013
1825,1.1106042968945407,0.07420804420664932
1850,1.044906343399293,0.07483765987916975
1875,1.0294763556366031,0.07548624870071938
1900,1.0710828604865004,0.07574844575632542
1925,1.054636015810758,0.07595576865761969
1950,1.054331385376832,0.07581084208977461
1975,1.0319467039254213,0.07598045660750795
