Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.015706152723926,0.05577967775464353
-1975,1.0271513855550487,0.05580414739542303
-1950,1.0452162619837373,0.05599439506053705
-1925,1.0354602580077688,0.05611598252429898
-1900,1.0719956348612742,0.056346587977229634
-1875,1.1232823231500688,0.056723536145568305
-1850,1.1069307102710262,0.0567310416504553
-1825,1.0049614708159533,0.05640683650104365
-1800,0.9821138081181112,0.056234249154144836
-1775,1.0511397747706142,0.05648521148663757
-1750,1.1316882795272774,0.05688802127683626
-1725,1.1502328187995798,0.05693930751246356
-1700,1.1290139607618357,0.056780320225603746
-1675,1.1213895354865535,0.05656931745062623
-1650,1.169180512410305,0.056751159253729706
-1625,1.2023030932602772,0.05708427173536687
-1600,1.2005932162184172,0.05712879778510938
-1575,1.1513148695177948,0.0565372698455576
-1550,1.1123151824279063,0.05604458037474535
-1525,1.0669357249226739,0.055860300957413296
-1500,0.9953720053182304,0.055767786937530935
-1475,0.9422832619600997,0.05567396857572206
-1450,0.9281369747140191,0.05560895265190469
-1425,0.9658015441315466,0.055882272342725824
-1400,1.0292761029712412,0.056577672927003685
-1375,1.1015821722485395,0.05753924309188927
-1350,1.1100044472045034,0.05811454271866726
-1325,1.051690560925036,0.05797543467344453
-1300,1.0546242998444952,0.05787003016279484
-1275,1.1000267185195787,0.058019220640535836
-1250,1.1254042362572931,0.05831433623782774
-1225,1.1056133256024747,0.05846043296495762
-1200,1.0991897451148365,0.0585015446812232
-1175,1.0639611592009302,0.05819377716740851
-1150,1.0277371570955238,0.05763172915402218
-1125,1.0345882039606151,0.05722543717802092
-1100,1.088983158680653,0.05734860458395713
-1075,1.1542636378008,0.05789026799840918
-1050,1.1784911860188594,0.05820555462619574
-1025,1.1635526044963824,0.05765362495789323
-1000,1.1500237072115602,0.057083099312939964
-975,1.1097177499901183,0.05662937329755931
-950,1.0413558029320469,0.05617522011926565
-925,1.0141879388981505,0.05592125014444314
-900,0.9890194221117081,0.055910931584032354
-875,1.0299009511978103,0.056142544353579155
-850,1.1373166838530477,0.056413510088798455
-825,1.2025360657104376,0.05636264629397999
-800,1.1353641774455425,0.055658996986488574
-775,1.044496862839662,0.054895817660895574
-750,0.9782147915354354,0.054305874505202516
-725,0.9359180729081452,0.05398956930082981
-700,0.8763528636130881,0.05378186680275525
-675,0.8777792060945946,0.05394120923186913
-650,0.8494468791782679,0.05398537967449743
-625,0.8738402996157557,0.054298606440732596
-600,0.8336158986244242,0.0545043280275112
-575,0.8303409703706662,0.05473790221287821
-550,0.8797681093098492,0.054932158668379374
-525,0.935782031523733,0.05516582510408372
-500,0.9443788266895989,0.05516187814345436
-475,0.8939882397390914,0.05496981529180181
-450,0.8303432227812726,0.05462709871283703
-425,0.7969145834222146,0.05454633235524868
-400,0.8178711082951893,0.05461395247157814
-375,0.8586264388559443,0.054410732733366114
-350,0.8778157262906221,0.0541331945021199
-325,0.8791703911643941,0.0542225543051659
-300,0.7955019230214921,0.05414780666283598
-275,0.7058976017247603,0.054080350339919744
-250,0.750553905571132,0.054584622040944886
-225,0.8860538834209163,0.055355420645527384
-200,0.9693712023743195,0.05548288110441698
-175,0.9402394543358481,0.05502699739235508
-150,0.8945733972369949,0.05463144051483646
-125,0.8256547718257529,0.054285058043883616
-100,0.7658991537493482,0.05421409719974054
-75,0.7264727459341702,0.05409478717246564
-50,0.751820478796481,0.05400716527428358
-25,0.8123843122463593,0.05376712007770255
0,0.9024552144568755,0.05362270510420054
25,1.0007407018388237,0.05381612410039314
50,1.0037750172841962,0.05402460715817657
75,0.9866878095896637,0.05419203475294019
100,0.9642215437922219,0.05419455415389933
125,0.9629321979222424,0.054411126313547914
150,0.9791506028972726,0.05488269574905654
175,0.9811953023438553,0.05501560523916689
200,0.9736366475058901,0.05479572476949111
225,0.9786560514617488,0.05462827804242901
250,0.9659934676117916,0.05451395286230536
275,0.9128907956899301,0.054205100433646985
300,0.8516019326699871,0.05391715291079471
325,0.9180321979508944,0.05421713411666053
350,0.9441679111540136,0.05436518138621621
375,0.8982515508362864,0.05406490508287336
400,0.9023596719748884,0.05392814358194767
425,0.9507261792902152,0.05411573917664424
