Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,0.9331159505730631,0.08163814628402753
-1975,0.9257394590017601,0.08103669152970862
-1950,0.8861543215115636,0.08086302936713784
-1925,0.8726345622399123,0.08109628671274986
-1900,0.8592678279837526,0.08118133254308287
-1875,0.9549374230697785,0.08149042900780532
-1850,1.0310163668666632,0.08197838587172757
-1825,1.0819910023506474,0.08231662155283967
-1800,1.1123558875041326,0.08210784261116319
-1775,1.1709064208608104,0.08131748144735203
-1750,1.2442842971458303,0.08019518831685235
-1725,1.2286786831289822,0.07799968342911641
-1700,1.2388934220210692,0.07608007212623777
-1675,1.1698634878826601,0.07440782829604864
-1650,1.0566773911092366,0.07328799888786124
-1625,0.9615951466006443,0.0727605401667939
-1600,1.0541593585570894,0.0734813512763285
-1575,1.0810388867540668,0.07424047683236691
-1550,1.074665391205979,0.07523287943250234
-1525,1.0711329919017858,0.07641428002825892
-1500,1.1731657296596263,0.07770744046921146
-1475,1.2851645736642716,0.07863465468149426
-1450,1.282813994474067,0.07877296778015178
-1425,1.0953937114505379,0.07782879572639013
-1400,0.9661026733261685,0.07666362284816375
-1375,0.9671993842068636,0.07600933575577967
-1350,0.99116543215503,0.07578055935237221
-1325,0.9703380345484056,0.0757808028567375
-1300,0.9804553980187455,0.0761264766723213
-1275,1.0455359278799583,0.07652241581669307
-1250,1.092997713630745,0.07671656273320683
-1225,1.0745006582871373,0.07688140639929691
-1200,1.0448523926664448,0.07717873940865676
-1175,1.0176976470575427,0.07738140114792857
-1150,1.0262878082208837,0.0773587018498693
-1125,1.02916279620035,0.07701801847099789
-1100,0.9455590696857283,0.0762616261649157
-1075,0.8953277971465962,0.07568832195470143
-1050,0.8802559329834767,0.07545751929060977
-1025,0.9711940769598724,0.07573573855940238
-1000,0.9785613323506611,0.0759645383483394
-975,0.9750038821646143,0.07628003539663585
-950,1.0160571725900789,0.07663646646967023
-925,1.0911400330451748,0.07674845760450183
-900,1.13120939629557,0.07671315900237
-875,1.1045267429703904,0.07677313438839294
