Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,0.9813627401204387,0.0813537127772596
-1975,1.0743096491422128,0.07469716119854979
-1950,1.0390521398520687,0.06859321357869388
-1925,1.0073158254837473,0.06698792310336446
-1900,0.9727875488810357,0.06658315708587537
-1875,1.0164211296629144,0.0665261852808842
-1850,1.0402162360812117,0.066845428288348
-1825,1.1388592507323754,0.06707582337248083
-1800,1.076446042509243,0.06712290630887201
-1775,1.158666632110503,0.06747358238017444
-1750,1.1758355963982432,0.06751012138149276
-1725,1.084559841273089,0.06793973214505863
-1700,1.1161641823786745,0.06984917665643461
-1675,1.1374085628656936,0.07194368040920589
-1650,1.1678052639625995,0.0722336260557367
-1625,1.1195872397426245,0.0720485043815825
-1600,1.100468689190721,0.07144298638511141
-1575,1.0696980379209589,0.06951863031539264
-1550,1.1005381021547735,0.0673612968061333
-1525,1.0300055625162985,0.06591963090332217
-1500,1.0463611385985176,0.06539852287625411
-1475,1.0146371294467487,0.06529144226307973
-1450,0.9909105133781984,0.06507897067371456
-1425,0.9332838918904771,0.0653364043636385
-1400,0.9274009673509154,0.06571297457736786
-1375,0.965400114729811,0.06575564716116358
-1350,0.9406131767794795,0.06668045270210363
-1325,0.9403844473148654,0.07010564698553437
-1300,0.9616180497547442,0.07640121511749269
-1275,1.0541048646025142,0.07900709875667238
-1250,1.0113512671887002,0.07926578188006586
-1225,0.9539688191937896,0.07877630214495453
-1200,0.9406370078422979,0.07681162216664851
-1175,0.9989318308100327,0.07192729967891323
-1150,1.0260826523107303,0.06842885231673344
-1125,1.0012028003877478,0.06776988365648039
-1100,1.052829890365653,0.06781909478292601
-1075,1.082661752481314,0.0680367576603337
-1050,1.0815022333549844,0.06810076504678449
-1025,1.0256534834816193,0.06707154897314607
-1000,1.0203678700756416,0.06665681073872011
-975,1.006940529702115,0.06609345792088583
-950,1.0232488926765821,0.06612723726258252
-925,1.0423028320946164,0.06636675267623514
-900,0.9445377109774065,0.06613928828446486
-875,1.0151095291357413,0.0674625003547117
-850,1.0105508107496133,0.07400971043277199
-825,1.0407419503499769,0.0900474663116484
-800,1.0890681252252579,0.10151773746645358
-775,0.9692374505031561,0.10419176040492181
-750,0.9735241238554072,0.10406760197723366
-725,0.9156958251920068,0.10158720968737515
