Velocity(km/s),Flux(Normalized),Error(1sigma)
-1400,0.9217338366116719,inf
-1375,0.9405305723911326,inf
-1350,0.8792494795458066,inf
-1325,0.8927717915811824,inf
-1300,0.9443395867492373,inf
-1275,0.8888149648133915,inf
-1250,0.8730829770206964,inf
-1225,0.9022448163972621,inf
-1200,0.8688730199071569,inf
-1175,0.8147286989532699,inf
-1150,0.8110014190143091,inf
-1125,0.7905213996250698,inf
-1100,0.696268399927046,inf
-1075,0.68573448937099,inf
-1050,0.7319631388616817,inf
-1025,0.8064038811253395,inf
-1000,0.9241794758066791,inf
-975,1.0546188867127662,inf
-950,1.0535666783369888,inf
-925,1.0208156032939457,inf
-900,0.9712024254370676,inf
-875,0.903554773442281,inf
-850,0.9609485342475539,inf
-825,1.0220002035013351,inf
-800,0.9899051113808067,inf
-775,0.9652905337457192,inf
-750,0.9919880664777759,inf
-725,0.9944847893212243,inf
-700,1.0089267847925871,inf
-675,1.1173365452860953,inf
-650,1.0995058100483441,inf
-625,1.014474949308849,inf
-600,1.0959603892762486,0.05681881923897027
-575,1.108957949905702,0.05688106977851759
-550,1.1046615980249135,0.057316928937322105
-525,1.2000029369580583,0.05798031196282779
-500,1.1330669519079843,0.05806528023307789
-475,1.072974198176563,0.05799695367792009
-450,1.0287634132042391,0.05791851393879499
-425,0.9809782463169138,0.057127369996493434
-400,0.9725273576701456,0.05660628501103113
-375,0.9598880691108316,0.05628582320027185
-350,0.9150988313797451,0.05582527291459973
-325,0.8535783061750207,0.05562942336643541
-300,0.7869160647197667,0.05544351082045764
-275,0.810286816345345,0.05564941535558524
-250,0.7687514488683097,0.05536052039640581
-225,0.7230127281312629,0.05521826486610105
-200,0.7082814499665318,0.05520900935198103
-175,0.7601302622841224,0.05528673050584319
-150,0.7520439778680496,0.055273069867273046
-125,0.7185826774384969,0.05515312780219343
-100,0.7796146392504264,0.055269960320241895
-75,0.7652445063000903,0.0555894870706007
-50,0.6911243536120365,0.05645260535670723
-25,0.7477131177587566,0.05765310387714423
0,0.8859350210996324,0.058899068907995504
25,1.0262809665555568,0.05952898432811947
50,1.2026753782140882,0.05946847541828092
75,1.2810940269410793,0.05887360145932501
100,1.296760979430776,0.05817335744531186
125,1.2617576668087838,0.057623802031417405
150,1.15787372200906,0.05759686557931333
175,1.143172445627679,0.05804029201227918
200,1.0896524705956099,0.05891365075076296
225,0.981736874743372,0.05959239996834935
250,0.9996036473768058,0.05952182619166163
275,0.992109957336619,0.0589965480015666
300,0.979850565476402,0.0580930860401277
325,1.037807622318341,0.05754983859007298
350,1.000396352623194,0.05689834071072376
375,1.0077708739226545,0.056916125009897865
400,1.0213432925594648,0.05676205471550935
425,0.9852717498907445,0.056583498473067644
450,0.9718412701948361,0.05648099568109839
475,0.9971246250986746,0.056817494067714434
500,1.0033497686376818,0.05701250736312452
525,1.011382321609505,0.0572444995214718
550,1.0882901361299702,0.058235807879571916
575,1.0607066278513686,0.058873301169241846
600,1.0106799415864802,0.0598179900555766
625,1.0806342453609186,0.061053204720026434
650,1.018478579263949,0.06147822222122293
675,1.065292015944798,0.06202819514465548
700,1.1091920104103563,0.06218814508847931
725,1.0909442221742622,0.062379818781157295
750,1.1609423110165304,0.06291574211324101
775,1.1167554311388248,0.06314996039352404
800,1.1182804656368008,0.06328532925168259
825,1.1183519313435257,inf
850,1.137531691749487,inf
875,1.1233739411278953,inf
900,1.0774472180891252,inf
925,1.05066195950949,inf
950,1.0751370577128105,inf
975,1.0203283832596501,inf
1000,1.0282800419358913,inf
1025,0.9896991077969168,inf
1050,0.9597675263205898,inf
1075,0.9518672653373442,inf
1100,1.014955087425054,inf
1125,1.063948524886577,inf
1150,1.0580601948928479,inf
1175,1.0706272953274505,inf
1200,1.0124369866517264,inf
1225,1.00087330417319,inf
1250,1.0350617263052937,inf
1275,1.0894850091986512,inf
1300,0.9788790699618157,inf
1325,0.9746667531718864,inf
1350,0.9293294248912837,inf
1375,0.9281388556384039,inf
