Velocity(km/s),Flux(Normalized),Error(1sigma)
-1400,1.0332252009787408,0.06037060009329702
-1375,1.0495268855305604,0.0604118404829527
-1350,1.0512510070457104,0.06005543581279322
-1325,0.8684475037166787,0.060353961128103074
-1300,0.8199144541938459,0.06491365227603664
-1275,0.8977431642122545,0.0740440441594356
-1250,0.9128458695986333,0.08623032865874022
-1225,0.9157678008381946,0.09334791545029013
-1200,0.8463277230493077,0.08139982884597044
-1175,0.8141781074529673,0.06975297388233073
-1150,0.8001387895625318,0.061874036542923797
-1125,0.8932685782877455,0.057652937739838275
-1100,0.9820673127463025,0.05676189199234842
-1075,0.9976919156191041,0.05697209009494263
-1050,1.0115777723933832,0.058841505001172474
-1025,1.017378276736855,0.06593025548088789
-1000,1.038134714715288,0.07753942876281959
-975,1.0279668602720538,0.09548632965529409
-950,1.032684586502572,0.10085784340759538
-925,0.985093011675615,0.08241287061717473
-900,1.0045933315333955,0.07008763524160587
-875,0.9597948145127677,0.062067664052831616
-850,0.9700448264210517,0.05938759724888477
-825,0.9808892796470359,0.06051729458029752
-800,0.9896803877179357,0.0619480804321199
-775,1.0132302515990965,0.06343079616530149
-750,1.015001695844832,0.0642268860253929
-725,0.9941949567414772,0.06379144135748248
-700,1.0026062226094925,0.06286539644430504
-675,0.9767106637143169,0.062065094968920015
-650,0.9336382266973715,0.06209337217334654
-625,0.9499918459410773,0.06445502256084004
-600,0.9335184741692861,0.06843723957230839
-575,0.9994113944556551,0.07294101121148008
-550,1.0066049885055843,0.0745184508821054
-525,1.0005886055443451,0.07602733602605977
-500,0.965035556326422,0.08359403770010514
-475,0.9017821897893707,0.09577874505073082
-450,0.8877687177821243,0.12586772389443204
-425,0.8390241246536059,0.14750407030094578
-400,0.7445750603249978,0.09889207346250212
-375,0.7036099553860284,0.07702957793305969
-350,0.6978918041431994,0.0650992850631843
-325,0.6771889192366612,0.05915550484728763
-300,0.670642780623652,0.05853268392587638
-275,0.6519083995219195,0.05817539433537148
-250,0.6650423612123063,0.0579953714986876
-225,0.652671023699936,0.05750314722665908
-200,0.6126035122493931,0.05668972347621434
-175,0.6074493892727272,0.056211706833984125
-150,0.5739891892554089,0.05601218607861434
-125,0.5782044863173672,0.05651004935843101
-100,0.6053952505992473,0.05761182132720007
-75,0.6314511635086755,0.058513761309298334
-50,0.5940752291744164,0.05861723891538072
-25,0.5628680967223744,0.0585347761504498
0,0.5166377988662594,0.05827134742612697
25,0.49958164597231475,0.059817325988005585
50,0.5313789846548164,0.06739078204125741
75,0.5519558327122139,0.07972925584752473
100,0.6445708363517639,0.1013810155808766
125,0.8990615775438868,0.11567621279068507
150,1.057955950070807,0.09269467611281698
175,1.1275360100613459,0.07772919639308311
200,1.1277177350815122,0.06852719863172635
225,1.1268196073647603,0.06444700885912175
250,1.1134463450975223,0.0649060497591421
275,1.0168769519573986,0.0648663948463086
300,1.0146780048406823,0.06520240641911296
325,1.0125884943094658,0.06610495946850423
350,1.0539270854665537,0.06729994779033817
375,1.1852108201541343,0.06807928488776044
400,1.1133776379033797,0.06679413724922822
425,1.049643667543723,0.06437075335045718
450,0.9421268095254633,0.06270745930203264
475,0.9102698566117084,0.06300042376617071
500,0.9632082990363093,0.06493952838552178
525,1.0340600247166378,0.0700163999246168
550,1.1017643776416117,0.08276311469705228
575,1.0890792366222224,0.10144261324629593
600,0.9725519815318058,0.13619971840839476
625,1.220060268065944,0.1576885190832424
650,1.287593682947301,0.10539800705527522
675,1.2748298800604003,0.08327326858901077
700,1.1964900696405998,0.07088660486763325
725,1.1946611813166366,0.0646050113686868
750,1.139807382958268,0.06383732552563971
775,1.1255287328895571,0.06274253442853218
800,1.0927160567739787,0.061704480907741145
825,1.0726977596525695,0.062042944303078926
850,1.0955026632849019,0.06362283833768038
875,1.1460210182331634,0.06601053609951504
900,1.1609382487908813,0.06747469879594167
925,1.119343855202987,0.06633272698961373
950,1.0696201049763452,0.06378617511577135
975,0.969502001782977,0.06097866122192004
1000,0.9095888106137158,0.05974337871618216
1025,0.9403941466318371,0.06052816485681178
1050,0.9898851882141143,0.06219226609456367
1075,1.0479960153034757,0.06411479856706628
1100,1.1671218724386754,0.06515773614756067
1125,1.1464439767306236,0.06390972160484465
1150,1.0894890607647565,0.06184236551092657
1175,1.0513130763479905,0.05996751685280477
1200,1.0307505180990029,0.05904673916160679
1225,1.038131318871037,0.05914651695939447
1250,1.0571897781668325,0.059860773958217844
1275,1.0601775112335354,0.06111756823745614
1300,1.0875587922293966,0.06686486530995552
1325,1.0882763709822663,0.07723014057679106
1350,1.1300751749782507,0.09394020412489015
1375,1.1532235129682677,0.11451232818088472
