Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.1059831973154177,0.061759227311421194
-1975,1.0800793733932292,0.061660414585158904
-1950,1.0364328677174568,0.061451419890808955
-1925,1.0282728397023193,0.06163034042163796
-1900,1.0090004117844509,0.06160067549224887
-1875,1.0048254380519903,0.06146574783673495
-1850,1.0297088603694036,0.0616388102170162
-1825,1.0660791132511054,0.06208018414305082
-1800,1.0470167958365557,0.06211169484227511
-1775,1.022373898081886,0.06221049814561156
-1750,1.0080345325184552,0.062382547851381455
-1725,0.9922067042205407,0.062247534141802195
-1700,0.9775118682107204,0.06197189422099122
-1675,0.9913314903769327,0.06186016045875237
-1650,1.0233194687883143,0.06182341586872679
-1625,1.0486071476213306,0.06179245867786169
-1600,1.0576642628795554,0.06191752151152777
-1575,1.0580565826975077,0.062086503451462154
-1550,1.0561227073096657,0.06222178804946677
-1525,1.0337399980844142,0.06226926631910856
-1500,0.9951745619480097,0.062226167892921735
-1475,0.9680813524348216,0.062128234476372966
-1450,0.9569646766439048,0.0619980528189222
-1425,0.9348481168080675,0.061811525382838364
-1400,0.9109099378515542,0.06158441877510109
-1375,0.894780086348049,0.061267764127527324
-1350,0.8923698476794251,0.061045536299046584
-1325,0.8836720930046111,0.060952145738648454
-1300,0.9064628159006078,0.06099641427076385
-1275,0.9387840286233201,0.06104575845584352
-1250,0.9647470834618354,0.06124287117964666
-1225,0.9764510930251273,0.061346844182594666
-1200,0.971777780663769,0.061249525720259504
-1175,0.94388665049159,0.061098254089189334
-1150,0.9310065349144817,0.06100623340939507
-1125,0.9283733288980522,0.06095198385214558
-1100,0.9403824647024007,0.06098741386861041
-1075,0.9797807090770211,0.06116660826093509
-1050,1.0382473097651075,0.0614676797861617
-1025,1.0611067257216746,0.06170406130445917
-1000,1.1059939963179664,0.06200412301996082
-975,1.1141544396973682,0.062108949578548955
-950,1.1239283621799536,0.06218771506772946
-925,1.1200258176211166,0.06212501022387863
-900,1.1060736010494814,0.061847807567133165
-875,1.0420591430739492,0.06135403280001848
-850,1.0074538170941902,0.0610548385087063
-825,0.9551642716242654,0.06057644617369773
-800,0.9101817286427036,0.06021884849824805
