Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.2366222803140055,0.13885984401205828
-1975,1.1372144562933912,0.1378778401530663
-1950,1.1740959396843196,0.13840588801608966
-1925,1.1043437769998778,0.13831785275646663
-1900,1.0189452487149333,0.13687524841501827
-1875,1.059528495356092,0.1366788694896265
-1850,1.0946369947478836,0.13684808017091254
-1825,1.0576256274091507,0.1363631147748072
-1800,1.0479674147552527,0.13520197446259152
-1775,1.132001993688215,0.1365573457774168
-1750,1.060032684056438,0.1362713992165395
-1725,1.0967116760661635,0.13634653471537042
-1700,1.0994563596160571,0.13576771046460895
-1675,1.1509120274384526,0.13702563216171004
-1650,1.0360458807469037,0.13543737450416055
-1625,1.06362803404461,0.135087843929373
-1600,0.9460700745199743,0.1342779862213321
-1575,0.9184385317377345,0.1344029010567808
-1550,0.925721468462177,0.1344432895256273
-1525,0.9788842376979926,0.13608334383697665
-1500,1.0902238700099358,0.13801230454642938
-1475,1.2665463377878388,0.13930429293582658
-1450,1.2382903046587905,0.13904253290544183
-1425,1.1905275294217723,0.13863207263677674
-1400,1.1971526486232287,0.13798457318367363
-1375,1.094515742917522,0.13646163002121448
-1350,0.9324861836315118,0.13506059063701292
-1325,1.0078743818611562,0.13557346980208673
-1300,1.0473137683775988,0.13579615376930992
-1275,1.0624663743043241,0.1364431009197235
-1250,1.1107169221839137,0.13679656233075999
-1225,1.201692071933005,0.13774280905341324
-1200,1.173627632830194,0.1380615576777692
-1175,1.1906513364139912,0.13891872586448162
-1150,1.119437088217548,0.13779576240038457
-1125,1.0971972577898725,0.13830321649040028
-1100,1.0424174245977826,0.13788478393052672
-1075,1.1350760302398781,0.13837181796449044
-1050,1.1066396212254193,0.13782238547906522
-1025,1.2026237921487077,0.1393440515034434
-1000,1.120492192178039,0.13843338614103
-975,1.0875463749723786,0.13981911419229662
-950,1.0454701969491278,0.14044212198526934
-925,1.0808630887731026,0.14118576141199804
-900,1.0101213594164153,0.1406302039775441
-875,1.0614600839307313,0.1411392098364107
-850,1.1164636295131452,0.13954991740259517
-825,1.038537559148218,0.13799513556774975
-800,0.9839863532505835,0.1372197963468619
-775,1.000635326859745,0.1367736050365564
-750,0.935326691154106,0.13594116305094878
-725,0.9035157509567343,0.13615529516636077
-700,0.8495842183836941,0.13597257235960525
-675,0.8660099246993116,0.13577213916720363
-650,0.7863906741588297,0.13495683764940328
-625,0.7530604685354352,0.13539397801760494
-600,0.7107820102917182,0.13641342838396117
-575,0.8241466047554561,0.1380416399283828
-550,0.8377708750499344,0.13852170504107025
-525,0.9396310746880441,0.14019676563129824
-500,1.0152788413165188,0.14060275254058938
-475,1.1375845156778384,0.13998602086321324
-450,1.165482742433397,0.13986661781852888
-425,1.2052486771104465,0.1401975950826121
-400,1.1977424642270167,0.13953123922490107
-375,1.2091892874524586,0.1394800594481907
-350,1.0203656416909939,0.1380362327057102
-325,0.9488124297416869,0.13683980715513933
-300,0.8323244081289782,0.13655972488048326
-275,0.7568470880071523,0.1353729060090617
-250,0.6843469755065844,0.1339308418925006
-225,0.8116846052261899,0.13493106834955582
-200,0.7621231908572824,0.1344299123949928
-175,0.6933727518018796,0.13280906113277258
-150,0.5519301489354782,0.13304865908158142
-125,0.3655651038829801,0.13274659677285264
-100,0.1111160282735752,0.13122100798517783
-75,-0.0014823625005858574,0.13047459142899417
-50,-0.056505486288725745,0.13030923226866425
-25,0.013359575039945658,0.1297429108902742
0,0.08467997327917516,0.12974177811479357
25,0.20906345702319534,0.12986772734511262
50,0.2426960229080284,0.13048872180926238
75,0.20097554723181557,0.1308268065227233
100,0.11201337124337166,0.1304537340914184
125,0.13371166609955584,0.13078820612674322
150,0.13960446585229713,0.13156505163876644
175,0.05282030066110535,0.1314693430175509
200,0.03670430729744557,0.13155096656448875
225,0.10833001852643481,0.13287774920918194
250,0.17259165584018754,0.1334623050131211
275,0.23588345105836211,0.13397773139697244
300,0.4204297036971412,0.1348222308146199
325,0.6004672115490014,0.13535389403390163
350,0.6242439579959242,0.135700137699521
375,0.49643535667105265,0.1351826181939041
400,0.4669182911264351,0.135155560648724
425,0.4460866477062881,inf
450,0.34887804257461513,inf
475,0.29691421764325127,inf
500,0.36419793469104067,inf
525,0.3076512184206368,inf
550,0.17212860237736125,inf
575,0.07202465866827669,inf
600,-0.041283763589829534,inf
625,-0.1135913395793092,inf
650,-0.16702895014104155,inf
675,-0.17367040959666075,inf
700,-0.14725328417371727,inf
725,0.004040763033235435,inf
750,0.13537715406571127,inf
775,0.22750341666264456,inf
800,0.3974468281487156,inf
825,0.5795135401271996,inf
850,0.6376288246174091,inf
875,0.6880923269365851,inf
900,0.811529974634858,inf
