Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,0.8566162199268375,0.2910398379927014
-1975,0.6104198419060346,0.28879405138054703
-1950,0.5346328073654136,0.289764623199787
-1925,0.48684240574780163,0.29278026440824073
-1900,1.0287512179809277,0.2961124256419413
-1875,1.1938422356913565,0.2986607507826292
-1850,1.5280698730079283,0.3011473058355579
-1825,1.5908280885722499,0.3010939716125803
-1800,1.3303194003881202,0.2998145600463918
-1775,1.4023925424448709,0.2968814746035557
-1750,1.1457482481103791,0.2976760686659993
-1725,1.1960977731771127,0.30078828513494704
-1700,1.1295949668300924,0.3018557259022526
-1675,1.1915652018453724,0.3018558005765707
-1650,1.1772757357252628,0.2986874027297058
-1625,1.1579011178967495,0.2963554823542036
-1600,1.240653774961509,0.2971262991953209
-1575,0.9538448290006817,0.2997572166745995
-1550,1.3302107373576537,0.3067955226357897
-1525,1.3420773618736883,0.30831217606786193
-1500,0.9974081307585413,0.30750624819864497
-1475,0.7726556881355621,0.30256545867931867
-1450,0.7904371295726346,0.30022728517929337
-1425,0.951505517777309,0.3016101710905737
-1400,1.2129803086528523,0.2998382378612064
-1375,1.2764695920834346,0.2966892692135336
-1350,1.1719084290178687,0.2964124490307051
-1325,1.0449439050744629,0.29855876325291114
-1300,1.173966623299498,0.30456839379136547
-1275,1.1907711025231569,0.311764363973013
-1250,1.024149823854015,0.3175332895567366
-1225,1.144832838188914,0.32226194366406596
-1200,0.9313152342691172,0.3246008613614366
-1175,1.1908062925707024,0.3223825899619684
-1150,0.9801301777633085,0.3174198566455074
-1125,0.9669060317732033,0.31220026982928223
-1100,0.8171369355085115,0.30824411899377974
-1075,0.8926309910263976,0.30745896556091706
-1050,1.1587984195587842,0.30792264317894397
-1025,1.2732419337923349,0.3076400551576943
-1000,1.5492303725771202,0.30951307214843343
-975,1.3141880271092174,0.3102759008699443
-950,0.7372307868815261,0.3116757211971022
-925,0.33731591286784884,0.3138692433108803
-900,0.10598737534616269,0.3129115456842512
-875,0.37854247750279835,0.31269676491283566
-850,0.9118550130122711,0.3102356713584578
-825,1.1213752323217732,0.30770160931777785
-800,1.0935547024551886,0.3060577186001174
-775,0.9503397857474964,0.3049612264526629
-750,0.40663819522643213,0.3044628937440535
-725,0.39884881795701776,0.30531293048875435
-700,0.5132968590131642,0.3070947499918764
-675,0.9240092863728747,0.30777483589875176
-650,0.9723018240414528,0.30805936772256126
-625,0.7917737077331565,0.3105257972988002
-600,0.9419474179003422,0.31350952418106637
-575,0.7916803958540414,0.3118193536166772
-550,0.8323637353486338,0.3089572290836513
-525,0.8719332726883964,0.30359625131306167
-500,0.5867066165523436,0.3007256005663405
-475,0.6860587613613657,0.30149799835950425
-450,0.6811099479661777,0.3021697050767121
-425,0.826174335338033,0.3031686896535452
-400,1.256045683555196,0.30540249719198254
-375,1.2019669405156619,0.3046417072068304
-350,1.1847095591490957,0.30419555737565296
