Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.1115689842771699,0.1380092269515565
-1975,1.084292039103858,0.13820665654827968
-1950,1.007426528326866,0.13731171537228157
-1925,0.9386144168178809,0.13657990736377112
-1900,0.9762027092612781,0.13681958227237842
-1875,0.9978433042614796,0.13786206265479864
-1850,0.912499295245067,0.13868255230274149
-1825,0.8433949821869776,0.13927820980892971
-1800,0.9549525122735991,0.13843322701858082
-1775,1.0227842292215445,0.13692828941421464
-1750,1.0825974603317967,0.13560610040483995
-1725,0.9866123871260326,0.13526477247595872
-1700,0.9846441852008672,0.1353717136473921
-1675,1.1158157499815697,0.1347786411673897
-1650,1.2945904535382997,0.1347581175270556
-1625,1.1084716279362514,0.1343635532988077
-1600,0.970509103186984,0.1354611700252313
-1575,0.9122793973020736,0.13529452188453064
-1550,1.0183342402737514,0.13414147808886814
-1525,1.0997607871140305,0.13317679306311217
-1500,1.0053758451280692,0.13266237127231584
-1475,0.8174970490517421,0.13118755977382118
-1450,0.8629431024914057,0.13114543596459607
-1425,1.0913403907885602,0.13229873249282073
-1400,1.2994700491534013,0.13425701779150315
-1375,1.3542727687731975,0.13576155342560084
-1350,1.043108602424959,0.13524071262887283
-1325,0.9006664407656989,0.13475236626868406
-1300,0.8564174050969422,0.13460551687550482
-1275,0.9504958884621483,0.13497163100353848
-1250,0.9174779978853018,0.13496317658744839
-1225,0.79056914107208,0.13448788487377897
-1200,0.788769991032519,0.13428042412484972
-1175,0.8036724124074736,0.13471586565544658
-1150,0.8754294572487552,0.13508124630399643
-1125,0.9178344050073809,0.1342510940421796
-1100,0.9073162609690141,0.1326821489498662
-1075,0.9338872495498555,0.1325816218610454
-1050,1.0709526647134864,0.13457826468807219
-1025,1.1787279047141765,0.13704968856428018
-1000,1.1056982850863233,0.137533015154288
-975,0.9782275802397988,0.13588579534670442
-950,0.8464437382094863,0.13271917121244503
-925,0.7475971499856424,0.1299320541873273
-900,0.8685259496980687,0.12935023663160378
-875,0.8215429982070138,0.12944446956929925
-850,0.8743475270438698,0.12992895760716106
-825,0.7446798062251823,0.13039808443491419
-800,0.7092426476437106,0.131955184216368
-775,0.8417171810098182,0.13363072745759594
-750,0.8338657585595625,0.13080316760242267
-725,0.8558556670326276,0.12741921174517487
-700,0.7192897072870891,0.12530450896040884
-675,0.7995929981037576,0.12607188610429504
-650,0.8196914072674633,0.12670354670688508
-625,0.8544392792780733,0.12706773234569094
-600,0.9223147043068591,0.12756346091939735
-575,1.0021566957385204,0.12843599088115945
-550,1.0876526131678228,0.1300596685835967
-525,1.100582705355145,0.13158306798074634
-500,1.0050280023232134,0.1307321711568328
-475,0.8426836511041351,0.1277786010502558
-450,0.7788230440904221,0.12508190782665504
-425,0.9744303133630383,0.12541387817803612
-400,0.9837644780297135,0.1237784176749965
-375,0.9311319292365985,0.12262563173710835
-350,0.8344612576264646,0.1221307844715143
-325,0.7400215747107841,0.12272947572050963
-300,0.517136581149084,0.12273810102435453
-275,0.4848663601169309,0.1239382266413134
-250,0.4922235678612319,0.12514291389513701
-225,0.5841201538772663,0.1259472167255776
-200,0.6186696228109212,0.12485320408434882
-175,0.591211639816886,0.12232178099722228
-150,0.44685019574603746,0.11876801523462452
-125,0.2279564063056436,0.11588371740299651
-100,0.17817260034578541,0.11466797628138058
-75,0.3093093016431477,0.11523847765841358
-50,0.45379352265036155,0.11540508506944451
-25,0.5221380877284516,0.11478606551050316
0,0.5212232259419933,0.11443304736166322
25,0.5136941758809745,0.114639099961975
50,0.632643043904092,0.1161991493507856
75,0.8991976030989157,0.11846970720732083
100,0.9811763744702596,0.11917526735744768
125,0.8616048593474313,0.11853072753962308
150,0.7463784471293803,0.11854875141258543
175,0.6437662636701857,inf
200,0.4548770111620239,inf
225,0.4475705571574141,inf
250,0.6119979312839307,inf
275,0.7858274392075449,inf
300,0.813864708305443,inf
325,0.7690950880700222,inf
350,0.7223361008138841,inf
375,0.7105738896855072,inf
400,0.7889533980040419,inf
425,0.8013617964196638,inf
450,0.8042166498240733,inf
475,0.820990165941448,inf
500,0.9146128198710408,inf
525,0.952641623104702,inf
550,1.0051550792383328,inf
575,1.1653195109595025,inf
600,1.4938625914930883,inf
625,1.8715385150442965,inf
650,2.021203029074494,inf
675,1.814206213249591,inf
700,1.424548856864734,inf
725,1.173266940390814,inf
750,1.1163428922255165,inf
775,1.174723580867016,inf
800,1.2700646164521134,inf
825,1.2602978731992287,inf
850,1.128580553940857,inf
875,1.0969166177896805,inf
900,1.2016197204890544,inf
925,1.350024065149448,inf
950,1.367133189823368,inf
975,1.2890668000599927,inf
1000,1.3210400695861095,inf
1025,1.2850360778945167,inf
1050,1.143083012235339,inf
1075,1.01967040577039,inf
1100,1.1399541074553015,inf
1125,1.0808002850354919,inf
1150,1.1373567844503762,inf
1175,1.1816872925451805,inf
1200,1.1794352573145968,inf
1225,1.1576244237993834,inf
1250,1.1921631409474482,inf
1275,1.2500600713413637,inf
1300,1.3429074436568638,inf
1325,1.3865308821592024,inf
1350,1.3373592014300657,inf
1375,1.235862185857228,inf
1400,1.2870928457088429,inf
1425,1.1764710387709558,inf
1450,1.1492030211883213,inf
1475,1.1896637551135874,inf
1500,1.274298416292988,inf
1525,1.1940268371041778,inf
1550,1.1048935155780206,inf
