Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,0.9271020184470672,0.16177546992608496
-1975,0.910776447858162,0.16254724203061685
-1950,1.0071332889051308,0.16548236715454348
-1925,1.0243980762828508,0.16672307098612313
-1900,0.9058820663291083,0.16469055345361902
-1875,0.660019106215585,0.15987221371629506
-1850,0.6843013309346706,0.15803615458197026
-1825,0.8999977122019193,0.16213182158101633
-1800,0.9517828499053468,0.16972352816050737
-1775,0.7595441390447323,0.17786477150812272
-1750,0.6162882510110061,0.1857502103798218
-1725,0.7827666924524758,0.19130566760375067
-1700,1.1128198323660947,0.19255429014022038
-1675,1.412309290893726,0.18860349434890944
-1650,1.3834085237231515,0.17918361314334771
-1625,1.2701602258787466,0.16930001707869444
-1600,1.1856269828458397,0.1631850518609895
-1575,1.0664024783266195,0.1612627051590815
-1550,0.9810307314405655,0.1619978623819943
-1525,0.93401296825054,0.16456862738177097
-1500,1.0673398380653587,0.16893387836014634
-1475,1.095479417410139,0.17152724351826784
-1450,1.0262620653454604,0.17170785132633065
-1425,0.8830794590342288,0.1714407109239241
-1400,0.9803931502363418,0.1727749447130362
-1375,1.0029924198746163,0.17411409781995812
-1350,1.0354335329468412,0.17594117281361155
-1325,1.0222932985646525,0.17806682169579938
-1300,1.042356660206199,0.18014771541929847
-1275,1.0959752587868956,0.18131281562150206
-1250,1.0403443318341739,0.17959364066551595
-1225,1.11103707572686,0.17728075082731826
-1200,0.9983959632386543,0.17343456104564922
-1175,0.9596196676933323,0.1704098356636748
-1150,0.9202716195487891,0.16721333752562004
-1125,1.0055599808875963,0.16502941911383426
-1100,0.9995630924650295,0.16355678497153622
-1075,0.9846132149341402,0.1637275161910478
-1050,0.9996377102190483,0.1664124715302743
-1025,1.0507714610418863,0.17053451727903332
-1000,1.056190538414477,0.17474055677555414
-975,1.0245199881564309,0.1778699544988894
-950,1.008874545893567,0.1817145879073333
-925,1.0708553309443214,0.18597893306569882
-900,1.1078995672891627,0.1896800858643616
-875,1.2188359982808974,0.18947222315515336
-850,1.089778425052384,0.1870676919397903
-825,1.079683363050425,0.18514830825792758
-800,1.107668060117403,0.18381478788018987
-775,0.955286421755616,0.1807612959112336
-750,0.8155449156107968,0.17763923418561336
-725,0.6215422518117296,0.17591307003741374
-700,0.7562267458638597,0.17749359397567357
-675,0.9015738509631599,0.17822390921020054
-650,0.8853326311602273,0.17708721842671207
-625,0.75731528635869,0.17502310043652208
-600,0.7715588520781175,0.17293385933479913
-575,0.9219724126203134,0.17106005394027324
-550,1.0150892865482828,0.1694304368219384
-525,0.902766408680864,0.16719003172703417
-500,0.6724999690990935,0.1637982667733896
-475,0.5588690605353327,0.16219931835464246
-450,0.5513745297065903,0.16381466795006328
-425,0.6140434005510249,0.1678052084185728
-400,0.6921835445891581,0.1725298367352811
-375,0.6762977160765052,0.17488957857103174
-350,0.46694830124769493,0.17531798712022212
-325,0.3596282490832325,0.17544247181147177
-300,0.33536095208419353,0.1749019670982732
-275,0.2782833001248758,0.17310110938830867
-250,0.18007106569812095,0.17057948509454243
-225,0.04730635005171805,0.1686520118748898
-200,0.05600731472496894,0.1677395439830663
-175,0.08234737295691082,0.16690018189477523
-150,0.021576861005345085,0.16573987725204942
-125,-0.0107319207030294,0.16504593700530334
-100,0.18889298193842496,0.16591819470348365
-75,0.4320583187843679,0.1663927570488462
-50,0.38684581375913385,0.16534659079746908
-25,0.20655330086036855,0.16347971146718626
0,0.17959387762828566,0.16304608201902285
25,0.39949113232220906,0.1632556457945001
50,0.5791755833888894,0.16283028893721851
75,0.5615638763206988,0.1616041339673824
100,0.3574364950091064,0.15978153363898007
125,0.28154104624068926,0.15920919418064255
150,0.2693831321325609,0.16008092137329988
175,0.2923754088289289,inf
200,0.33649546490932386,inf
225,0.3181606741477405,inf
250,0.27785538796969156,inf
275,0.2148702055636665,inf
300,0.21414757069843923,inf
325,0.10394624032548049,inf
350,-0.01621425892229493,inf
375,0.023546958104775,inf
400,0.18573100105193982,inf
425,0.2456554923683322,inf
450,0.32060053046542936,inf
475,0.36533862385806254,inf
500,0.6843114735766929,inf
525,1.0577595474636994,inf
550,1.3767569681998637,inf
575,1.483411596330539,inf
600,1.478532212539377,inf
625,1.4711048809283322,inf
650,1.540329186940077,inf
675,1.4644840397316858,inf
700,1.3037774539008957,inf
725,1.2064299225856578,inf
750,1.106537639830464,inf
775,1.0226929633447628,inf
800,1.0584735618480203,inf
825,1.1532164029099852,inf
850,1.0997108324384537,inf
875,1.0432630836753216,inf
900,1.1864715968128001,inf
925,1.2289965557917881,inf
950,1.0910939708420464,inf
975,0.8548928133592644,inf
1000,0.9348184234898921,inf
1025,0.9183387901417777,inf
1050,1.0433914444560763,inf
1075,1.1348394952893839,inf
1100,1.1095069428973945,inf
1125,0.9482828073284671,inf
1150,0.8688014460471891,inf
1175,1.0003622897809517,inf
1200,1.1087171102406117,inf
1225,1.051395804329281,inf
1250,0.876716895320781,inf
1275,0.6990479348177441,inf
1300,0.6557135077875942,inf
1325,0.8802035213702141,inf
1350,1.237835591519371,inf
1375,1.3645195394758556,inf
1400,1.3729897678759748,inf
1425,1.3688947960517763,inf
1450,1.3454787508282033,inf
1475,1.3428856508245337,inf
1500,1.4332729549540604,inf
1525,1.61623426224325,inf
1550,1.6869410196004553,inf
1575,1.6898436016813396,inf
1600,1.6531424432365012,inf
1625,1.5886496955528115,inf
1650,1.5711108432827139,inf
1675,1.4352213054882874,inf
1700,1.338037209598334,inf
1725,1.3371045524545566,inf
1750,1.3059542924248027,inf
1775,1.2891194659578604,inf
1800,1.4318042320065643,inf
1825,1.653566582453462,inf
1850,1.572535797405679,inf
1875,1.4946430516249594,inf
1900,1.466216213543583,inf
1925,1.4721073608442048,inf
1950,1.522294812221026,inf
1975,1.5108430357590137,inf
