Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.3334653746964173,inf
-1975,1.347202393885657,inf
-1950,1.309198409621773,inf
-1925,1.3385462199654918,inf
-1900,1.3443074499117162,inf
-1875,1.3050522227924164,inf
-1850,1.2504855163245605,inf
-1825,1.216385053835307,inf
-1800,1.1858289966700453,inf
-1775,1.0756775264983216,inf
-1750,1.0756132063275343,inf
-1725,1.0133187205039933,inf
-1700,0.889994969499563,inf
-1675,0.9968211900487838,inf
-1650,1.1405094815155215,inf
-1625,1.0059938938708926,inf
-1600,0.7831661005971545,inf
-1575,0.5910949789968966,inf
-1550,0.45805929465117234,inf
-1525,0.3406408568163331,inf
-1500,0.35920114008218507,inf
-1475,0.46531299066719156,inf
-1450,0.6737594842398362,inf
-1425,0.8066596562876023,inf
-1400,0.9456664924986218,inf
-1375,1.0331309679871707,inf
-1350,0.9949792834038963,inf
-1325,0.929860832016554,inf
-1300,0.8410018433539875,inf
-1275,0.7370874075552392,inf
-1250,0.7837666404606257,inf
-1225,0.7816933838234322,inf
-1200,0.8520759572438272,inf
-1175,0.9409004379399885,inf
-1150,0.9705104316321748,inf
-1125,1.0362096927977897,inf
-1100,1.0062685442116408,inf
-1075,1.0009385858017525,inf
-1050,0.9548528742947153,inf
-1025,1.0665718155357407,inf
-1000,1.104990981696326,inf
-975,1.1539032074136306,inf
-950,1.117341712149728,inf
-925,1.1126551706330592,inf
-900,1.120504211183215,inf
-875,0.9952309091733419,inf
-850,1.149661656769483,inf
-825,1.0404845646858885,inf
-800,0.9828872252600722,0.09073886302310345
-775,0.9256753069030119,0.09031051674882548
-750,0.8808480449967143,0.08980458606608231
-725,0.9808610217901053,0.09041532695231215
-700,0.9481895144936219,0.09132424796461387
-675,1.0059024032889423,0.09157197478795547
-650,1.0854455573978063,0.09173398249332455
-625,1.0382361280166408,0.09174244142533408
-600,1.1514878092140335,0.09203942027716923
-575,1.1081454934657557,0.09167847885474585
-550,1.0935759573762054,0.09149230699931483
-525,1.2943584821692304,0.09299053818971749
-500,1.25850318018049,0.09319435394194849
-475,1.1719237416197819,0.09344623743740561
-450,1.124434256684773,0.09273725662891213
-425,1.1483511170409848,0.09206320076059452
-400,1.1633300855822404,0.09171617156005987
-375,1.1226323269417977,0.09102010192898985
-350,0.9993617236097819,0.08942546052115714
-325,1.049987070572224,0.08883767073598213
-300,1.0006382763902182,0.08891783209278036
-275,0.8951692128877765,0.08948217961051923
-250,0.9360917017128765,0.09058106845017792
-225,0.7293727500979215,0.09162233446809859
-200,0.7793977548869048,0.09207802517082991
-175,0.715887831465871,0.09214959416637777
-150,0.5943639557224919,0.09076856157365625
-125,0.580147043390295,0.0893950582556796
-100,0.5518855747833487,0.08821395430612451
-75,0.5350110299696887,0.08684774839586223
-50,0.5299004300520368,0.0862269999025172
-25,0.5021757315028627,0.08712941755037612
0,0.5876143428444681,0.08787207853147772
25,0.6866730386486226,inf
50,0.6745117607982837,inf
75,0.5999629276283548,inf
100,0.6114467424376638,inf
125,0.5453878539132705,inf
150,0.3707582188181702,inf
175,0.27666268591767457,inf
200,0.21936781236362987,inf
225,0.15642651298029175,inf
250,0.12294877671941494,inf
275,0.09044890689201428,inf
300,0.14522272133566655,inf
325,0.04657021596199529,inf
350,0.035801474219076826,inf
375,0.11869338869272326,inf
400,0.11533066416053747,inf
425,0.12883741282521463,inf
450,0.3599011106427822,inf
475,0.4366109590626382,inf
500,0.49403336082568056,inf
525,0.666072357921128,inf
550,0.8040374419533002,inf
575,0.9352332076484909,inf
600,0.7681399604684691,inf
625,0.8109962030186614,inf
650,0.6432386315636228,inf
675,0.6858160584578181,inf
700,0.522376001122225,inf
725,0.4393668699349426,inf
750,0.31858278687398794,inf
775,0.2701786373542837,inf
800,0.15883050865025475,inf
825,0.07385174027698793,inf
850,0.14505807294230036,inf
875,0.23340690845188652,inf
900,0.40860950071889485,inf
925,0.4922710833973342,inf
950,0.814360036613401,inf
975,0.8155252250720487,inf
1000,0.9387308604871408,inf
1025,1.0971828217018709,inf
1050,1.203484053005864,inf
1075,1.3032249872242874,inf
1100,1.293804149542877,inf
1125,1.4060179588700192,inf
1150,1.3874594406988123,inf
1175,1.415513349937019,inf
1200,1.394962036428239,inf
1225,1.3632464303093348,inf
1250,1.3282970429472443,inf
1275,1.2391633260271162,inf
1300,1.414377152165059,inf
1325,1.4152548953198114,inf
1350,1.372601722462488,inf
1375,1.4084935166959085,inf
1400,1.4286990008874916,inf
1425,1.326971661263863,inf
1450,1.392067035097155,inf
1475,1.2865338151868524,inf
1500,1.365898712303788,inf
1525,1.4674614264330514,inf
1550,1.4896227602420071,inf
1575,1.449797090157083,inf
1600,1.2858805817306556,inf
1625,1.1990402977802537,inf
1650,1.2393130820087095,inf
1675,1.258977186965505,inf
1700,1.334234277473574,inf
1725,1.4198987028167254,inf
1750,1.2882886168009051,inf
1775,1.354176320537556,inf
1800,1.2783001203964486,inf
1825,1.2266664935066764,inf
1850,1.2997287235409223,inf
1875,1.2902064483847386,inf
1900,1.3288595117789175,inf
1925,1.3658630130498908,inf
1950,1.4408153072993297,inf
1975,1.462186429295847,inf
