Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0798735616987476,0.17946422424944233
-1975,1.0604197269392004,0.18001737405630955
-1950,1.122272063773078,0.18017617689366527
-1925,1.176776893112302,0.17950456190150835
-1900,1.226106868137121,0.1789853573701302
-1875,1.1632398369106456,0.17820430105927443
-1850,0.9461226985069331,0.17751018564377075
-1825,0.7915842031720673,0.17757511271874743
-1800,0.7738659624428091,0.17857001496083474
-1775,0.8488432250832083,0.17994521868934482
-1750,0.7236727530891265,0.1808543401093367
-1725,0.6373249184318388,0.18098690911156867
-1700,0.7252576050904525,0.18188021891311537
-1675,1.0295603433483071,0.18326143754054328
-1650,1.1763581864037607,0.1831540506849182
-1625,1.1138417027488339,0.18245939188530316
-1600,1.119166847198678,0.18241873296361363
-1575,1.1714265679968616,0.18248199299390183
-1550,1.1591040339954812,0.1821164001963682
-1525,1.153456593321374,0.18210265144142057
-1500,1.35972264591652,0.18250836642531526
-1475,1.437710836465413,0.1828859825661592
-1450,1.344452142278579,0.181900247672649
-1425,1.1042091164111556,0.18030286840596296
-1400,0.8357388950339791,0.17896349931443323
-1375,0.674498609085192,0.17791134529599162
-1350,0.6744757698060131,0.17573806363433583
-1325,0.6986741761466503,0.1726765011844884
-1300,0.7188162344711353,0.16983008473028766
-1275,0.8262771659327794,0.16773750338757176
-1250,0.8502562677983292,0.1655326428398087
-1225,0.7304716506502145,0.16424086190799791
-1200,0.6633875342234488,0.16509468968814933
-1175,0.7731649892039577,0.16766860035618167
-1150,1.002070848425989,0.17063781986010285
-1125,1.109215944922608,0.17309151003603296
-1100,1.0506697014475668,0.17436583193010646
-1075,0.964174125107668,0.17530284040779873
-1050,1.0342161174350595,0.17649736698472593
-1025,1.0556177764900243,0.17697201520516415
-1000,0.9132186408599373,0.17603996143101314
-975,0.8367983511784335,0.1751062692589502
-950,0.805339308253368,0.17453042150568118
-925,0.8085340911266616,0.1738096227421242
-900,0.9020823438465903,0.1738766691923081
-875,0.9523922471585791,0.17482609933734036
-850,1.0342938365217094,0.1748438549254916
-825,0.9080369694106954,0.1729197110977371
-800,0.8244471056405571,0.17136580336107596
-775,0.7623022123313167,0.1707899855730923
-750,0.7400707836883341,0.17056108215817636
-725,0.7126771542677235,0.17061886971917198
-700,0.7061588956920164,0.17154571692191536
-675,0.7894777258739177,0.17332828334843287
-650,0.811527654282366,0.17438396115707544
-625,0.7181793833750808,0.17440708051697737
-600,0.741778832195146,0.17558168459892018
-575,0.9244222735386679,0.17663975674090918
-550,1.015887943025389,0.17602322077292684
-525,1.0266978356203673,0.17478337299442628
-500,0.9378914026712579,0.1739772501036185
-475,0.9436189978350973,0.17314061202015446
-450,0.8186536439838998,0.17122191843630016
-425,0.752115895887947,0.1697297109447578
-400,0.5928014446803288,0.16994251027246202
-375,0.4752926109696207,0.17208786705232768
-350,0.6253720634050673,0.17497758111366285
-325,0.9020913979170511,0.17690539243384665
-300,0.91158028286822,0.17702727116219036
-275,0.7348033272410369,0.17496020727431943
-250,0.6471938691700073,0.17256563350177268
-225,0.5967718077793511,0.17050523161681364
-200,0.4400640216293578,0.1683929876126886
-175,0.3491873473990225,0.16718498720382405
-150,0.28791893178428707,0.16653101526522074
-125,0.29206061439137104,0.16631597135918635
-100,0.36290442945870904,0.16696085967980695
-75,0.4503238293571119,0.16806354071830173
-50,0.5173643130228168,0.1692407444678297
-25,0.6709309676063494,0.17142288183774163
0,0.8059867450130923,0.17408141608871497
25,0.7997566531130776,inf
50,0.4447225359765138,inf
75,0.3813881849205075,inf
100,0.44190096938944795,inf
125,0.6214265587326024,inf
150,0.7869562880476018,inf
175,0.8334701245568584,inf
200,0.7008397866867089,inf
225,0.441057520931916,inf
250,0.30982228854745525,inf
275,0.33098376493176324,inf
300,0.32656082885824333,inf
325,0.17163472029906218,inf
350,0.221222283967768,inf
375,0.3618849614960799,inf
400,0.4511445827246484,inf
425,0.5134145124825907,inf
450,0.7879851379844711,inf
475,0.9179846943998337,inf
500,0.9803921055182272,inf
525,1.123887947710776,inf
550,1.2389787183815144,inf
575,1.2889918431264253,inf
600,1.3748648334746167,inf
625,1.3725782026051332,inf
650,1.2612023989157648,inf
675,1.0273936742228091,inf
700,1.0170656486630776,inf
725,1.1993628935503449,inf
750,1.394428826327793,inf
775,1.3172853791372325,inf
800,1.1449782041613046,inf
825,1.0749424605563727,inf
850,1.013614980294977,inf
875,1.038524461595582,inf
900,1.024604622889007,inf
925,1.0969768345774193,inf
950,1.1474455495359086,inf
975,1.1899525442671803,inf
1000,1.0888972206446945,inf
1025,0.991491390157096,inf
1050,1.0874433165463269,inf
1075,1.2208391092418605,inf
1100,1.2767949937984309,inf
1125,1.2791836653177975,inf
1150,1.3275642178667786,inf
1175,1.3127732644417787,inf
1200,1.3024402806109259,inf
1225,1.2214119608284015,inf
1250,1.1821581335514404,inf
1275,1.1588416681643519,inf
1300,1.0807934667255135,inf
1325,0.9703494058353607,inf
1350,0.9625898386178322,inf
1375,1.0523794184229738,inf
1400,1.1356371258639246,inf
1425,1.1488372572081256,inf
1450,1.161113633262019,inf
1475,1.3614906167137755,inf
1500,1.4219136555428455,inf
1525,1.5261348809868238,inf
1550,1.455436955837006,inf
1575,1.430557118886445,inf
1600,1.4428188803785835,inf
1625,1.2766539437960058,inf
1650,1.1026276489404705,inf
1675,0.9979291515740109,inf
1700,1.1231070827661291,inf
1725,1.3803460694973155,inf
1750,1.492938932466129,inf
1775,1.6256511365108393,inf
1800,1.533278464143559,inf
1825,1.3315503973685612,inf
1850,1.13727160156504,inf
1875,1.1122453313484453,inf
1900,1.2338941001730384,inf
1925,1.356553920743263,inf
1950,1.6041554883999471,inf
1975,1.4775064005421301,inf
