Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,0.8361228072194854,0.07967010433584765
-1975,0.8147670224592648,0.07949095471817857
-1950,0.7817068730573636,0.07926243615353884
-1925,0.7684128949182498,0.0790820805495909
-1900,0.7632041997752801,0.07893515507728216
-1875,0.7776043695348501,0.07879527970786716
-1850,0.7921481699420675,0.07857123014254415
-1825,0.8053550487095001,0.07821064982912916
-1800,0.8101700912630251,0.07770628273280693
-1775,0.8238751784710395,0.07719178030286265
-1750,0.8498344288976412,0.076913604280566
-1725,0.8815796269180848,0.07684570036200643
-1700,0.9172427850281404,0.07697552064640464
-1675,0.959210863730981,0.07718167808376243
-1650,1.0147902543064091,0.07770809093638119
-1625,1.0362120973687075,0.07797180310212662
-1600,1.0564567202521282,0.07790972591321661
-1575,1.082391107659267,0.07777111191925745
-1550,1.0905265210051922,0.07756079345553592
-1525,1.0955414918056157,0.07718485157573905
-1500,1.1262433232167723,0.07692174235788153
-1475,1.1641336156015039,0.07698269899751053
-1450,1.1640992476090817,0.0769603250832407
-1425,1.1615371397908398,0.07680493713671493
-1400,1.1492542708015552,0.07656946210680521
-1375,1.1409737262455326,0.07644587866284665
-1350,1.0825527066540053,0.07600489896405827
-1325,1.040301287022027,0.07568038146216888
-1300,1.0158636927951112,0.07557106238678633
-1275,0.9962684761218107,0.07543517951012114
-1250,0.9882044317378366,0.07534654285597718
-1225,1.021609035989343,0.07539604741691462
-1200,1.0683245419015355,0.07538608122400142
-1175,1.12264693762319,0.07540615325895983
-1150,1.1199942152323001,0.07509996465564568
-1125,1.1092005893795764,0.07484181073680098
-1100,1.112397061729684,0.07473109150261466
-1075,1.1070266039023187,0.07456860819835179
-1050,1.042984675642065,0.07408763025910602
-1025,1.0037315238781896,0.07386089642933447
-1000,0.9659055980578611,0.07341389333266965
-975,0.929976472691631,0.07299415390271122
-950,0.9188966398199134,0.07281866203927163
-925,0.9410290947508492,0.07270729736577712
-900,0.9551899484842784,0.0725696240552461
-875,0.9775279995049174,0.07256583796283121
-850,0.9410417569509663,0.07239582564582495
-825,0.8943550920568524,0.07208625210863125
-800,0.8617788039765398,0.07198714912779831
-775,0.8396702390096792,0.07188286922078595
-750,0.8040926900351385,0.07164086225222605
-725,0.8228411974471568,0.07156311878002357
-700,0.7988531122733854,0.07129259507752424
-675,0.7687735867629581,0.07091376224160796
-650,0.7245310595464016,0.0703941147080205
-625,0.6835529490102291,0.06997325235360591
-600,0.6111118266962524,0.06956452121631128
-575,0.5533678444081856,0.06917413591968452
-550,0.49459151857451306,0.06867466310685615
-525,0.45081887134562304,0.06835789797816032
-500,0.4079332242019558,0.06809276131079456
-475,0.37695400234715853,0.06786393117984393
-450,0.3526937905274706,0.06772433367163641
-425,0.3015409743285966,0.06766311293929164
-400,0.2990996417269945,0.06766826975168672
-375,0.279430453727302,0.06742388386352388
-350,0.26122720635217767,0.06706218033244005
-325,0.2714490650051808,0.06687191859738292
-300,0.3094721345714197,0.06684344930025474
-275,0.3086506750354071,0.06662562773475134
-250,0.32482525752715075,0.0664485366715293
-225,0.35283400278025817,0.06630842690524365
-200,0.35560668151216823,0.0661654081659429
-175,0.38431446169342093,0.06612965469293011
-150,0.4106211090833269,0.06631311286045097
-125,0.4359067220942186,0.06674353422927003
-100,0.49995022827376445,0.06737554480960496
-75,0.5743562977997,0.06787919425781458
-50,0.6492030230679217,0.06827103483693703
-25,0.7398550133865538,0.06857075793247992
0,0.7999484979711944,0.06845851986526855
25,0.7415186601382038,0.06766480256173113
50,0.6588056561016258,0.06680851707352806
75,0.5421317665693608,0.06590674628688342
100,0.42062885232533487,0.06503328741742703
125,0.35242664311673527,0.0647291573197212
150,0.3771008397980995,0.06496583664343497
175,0.4624218132040527,0.06550247799424372
200,0.599285939260756,0.06622395257846383
225,0.7718334653744904,0.06719964214353276
250,0.9005692391145484,0.06790840402576832
275,0.9946365642296325,0.06838037769092564
300,1.0405879117594683,0.06856282510444346
325,1.0589075605973597,0.06853918992150716
350,1.0357607393570187,0.06820917645442862
375,1.0385381801237834,0.06792761894894002
400,1.0362337603849385,0.06786355549571982
425,1.050795846202807,0.06788429232972432
450,1.052567505578434,0.06775716260762757
475,1.0306098695331651,0.06755872764019429
500,1.0384150559657468,0.06742792403944377
525,1.061571256418112,0.06712930853927142
550,1.0690814170655414,0.06683970974769159
575,1.0486130693765072,0.06662091243713056
600,1.070492952853447,0.06669592868803235
625,1.0381477038655258,0.06655752200902913
650,1.0076787585253022,0.06658541154837472
675,0.9725166828453246,0.0665822774268282
700,0.9857191145994293,0.06667674798319571
725,0.9740181405975383,0.06645325587097545
750,0.9788602580561008,0.06637522616341905
775,0.9392895280263941,0.06616347770719343
800,0.8939616119364716,0.06582023745878848
825,0.8553484271398719,0.06546244844368704
850,0.8024725113976304,0.06505352849899491
875,0.8077991208223395,0.06485574849696299
900,0.8488440579175743,0.06484667467180548
925,0.9190813915938747,0.06506267688482287
950,0.990102761834225,0.06526878815959544
975,1.1362772732898947,0.0658577809506303
1000,1.249327683930075,0.06629606628136214
1025,1.3454267842701118,inf
1050,1.415982207091274,inf
1075,1.4742993227180972,inf
1100,1.4836373998931578,inf
1125,1.4763981432089135,inf
1150,1.4644162837031431,inf
1175,1.4357854150925795,inf
1200,1.3708491816234847,inf
1225,1.2780561211340424,inf
1250,1.2113740332876854,inf
1275,1.1630595464400817,inf
1300,1.1167199436792103,inf
1325,1.1221689368993295,inf
1350,1.1460577042447273,inf
1375,1.1510466882194066,inf
1400,1.125523611561313,inf
1425,1.1349691279826004,inf
1450,1.1337081094019867,inf
1475,1.1149111307442987,inf
1500,1.116582229228012,inf
1525,1.134354034359289,inf
1550,1.1274565244123007,inf
1575,1.1259966310844276,inf
1600,1.1284899096967835,inf
1625,1.100770530283605,inf
1650,1.1045174401222377,inf
1675,1.1064000839057813,inf
1700,1.0941304002172136,inf
1725,1.0880240504910759,inf
1750,1.0867736838309578,inf
1775,1.0870905370623651,inf
1800,1.0967417381180276,inf
1825,1.0718326738927748,inf
1850,1.0585631164951914,inf
1875,1.077132922093121,inf
1900,1.0623052613490371,inf
1925,1.0424071390845282,inf
1950,1.0392461296705107,inf
1975,1.0464165688733926,inf
