Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.092135856732908,0.1017415044775131
-1975,1.0266708583947388,0.10220173450741508
-1950,1.0728625182667964,0.10248511795545463
-1925,1.0527049605304275,0.10210553414414139
-1900,1.1113586409205887,0.10132891786884247
-1875,1.146900547899145,0.10048287038080317
-1850,1.0657643300260382,0.09971945038292657
-1825,1.0329364054057375,0.09900991496248947
-1800,1.0038631146233252,0.09754436890874334
-1775,0.9742463271057438,0.09744575560142167
-1750,0.9521621133032624,0.09808346087931782
-1725,0.8123597662197068,0.09737241002576635
-1700,0.8687119537199468,0.09731706423125641
-1675,0.8907063736596842,0.09714299076605781
-1650,0.8448945279112643,0.09625007371921027
-1625,0.8840424672625686,0.09580037492903677
-1600,1.0281460479281277,0.0960486667571221
-1575,0.8050292096366544,0.0958243247374184
-1550,0.7779675754493577,0.09647573625344205
-1525,0.8889552078311295,0.09741518715740062
-1500,0.9014586430859566,0.09826285745275101
-1475,0.8341163152634222,0.09852733843682739
-1450,1.0127507336688266,0.09858194541148574
-1425,1.0464253698210075,0.0986274729176876
-1400,1.0794716833581661,0.09910322607848719
-1375,1.1202246724136362,0.09948482444681057
-1350,1.1622651184942123,0.1003224225559649
-1325,0.9290782008890472,0.09982736957687802
-1300,0.9219003093389002,0.09941934631532397
-1275,0.9612983943187811,0.09941000572924212
-1250,1.0289350915760005,0.09915425579251902
-1225,1.1904195239301567,0.09953676757461141
-1200,1.2175024121943747,0.09987508438428604
-1175,1.249073508604693,0.10016437841894296
-1150,1.2461350879857793,0.10015996023519315
-1125,1.2615175324966257,0.10057739802662279
-1100,1.2304372187035664,0.10073388860492735
-1075,1.237148469743699,0.10075766390426347
-1050,1.1136714120162532,0.10062655355251814
-1025,0.963262449875725,0.1002097539816475
-1000,0.9339490124865327,0.10025651135647444
-975,0.8451433512533217,0.10048917030280624
-950,0.838613431853477,0.1012790586060605
-925,0.8140313224267149,0.10173587649004591
-900,0.828558241832184,0.10200136819574061
-875,0.8539783368263881,0.10177156949924664
-850,0.9962545444168713,0.10153470895162182
-825,1.1059605562945896,0.1009276303073062
-800,1.1642730471493317,0.10066901836581037
-775,1.1947316336439167,0.10093099402932867
-750,1.0653972740453594,0.10081598714959611
-725,1.0068737020766052,0.1009988781457755
-700,1.0670933544507875,0.10136608963693375
-675,1.0294699984441713,0.10118280094116096
-650,1.0718071168736933,0.1012530660060734
-625,0.9999303288718545,0.10144661464736383
-600,1.0245907230708142,0.10160661069701975
-575,0.8714754591688392,0.10213249334118674
-550,0.9193948305259758,0.10287288625375393
-525,0.9844743212724753,0.10278208451447322
-500,0.8199446078424553,0.10217119350107556
-475,0.7088853541206112,0.10122485601686566
-450,0.5789748062952098,0.09999364406753679
-425,0.43803848140071766,0.09899407526565394
-400,0.44099943348349513,0.09881232389205322
-375,0.42446438179393686,0.09857472708720234
-350,0.3136976301307335,0.09846614745928438
-325,0.274257784964018,0.09864349039260059
-300,0.16394232412905937,0.09861948397127696
-275,0.07777624158046541,0.09879021263126427
-250,0.1241205120626055,0.09893121216553667
-225,0.04952446849679079,0.09868130450259306
-200,0.08371237583025082,0.09881385578463499
-175,0.18625708144767966,0.09919574593145551
-150,0.10947282746589981,0.09905176100530341
-125,0.034029463827974935,0.09894203453625404
-100,0.12496614034217365,0.09879729760091241
-75,0.1809106481621721,0.09881569284140322
-50,0.20373076066602988,0.09998339249627722
-25,0.40441751407090754,0.10165669458060182
0,0.5989600253764352,0.10274235610841133
25,0.8565533010396076,0.1041437597302611
50,0.9150290395045959,0.10460716547860925
