Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0680516266386348,inf
-1975,1.0460246547407246,inf
-1950,0.9585380152074682,inf
-1925,0.9878981489861853,inf
-1900,1.005065109831421,inf
-1875,1.073746078673698,inf
-1850,1.0920193075026534,inf
-1825,1.035919842418588,inf
-1800,0.9503387764332978,inf
-1775,0.9580970799721037,inf
-1750,1.056336609499143,inf
-1725,1.050045256066185,inf
-1700,1.0682868655059652,inf
-1675,1.0869273092977818,inf
-1650,1.1349892338451153,inf
-1625,1.1794574387209626,inf
-1600,1.1160063207630246,inf
-1575,1.0991821799835781,inf
-1550,1.1674421514521955,inf
-1525,1.2138361492329637,inf
-1500,1.1370793296988548,inf
-1475,1.0794218468475143,inf
-1450,1.0144058171303445,inf
-1425,0.8750241761355436,inf
-1400,0.8169523140035707,inf
-1375,0.8698280403115575,inf
-1350,0.9556047541914359,inf
-1325,0.9558726354400982,inf
-1300,0.8982161927501443,inf
-1275,0.7577607413738174,inf
-1250,0.6860743097353155,inf
-1225,0.6240620253648816,inf
-1200,0.7509548149582631,inf
-1175,0.8852788997062309,inf
-1150,0.9671499877929952,inf
-1125,0.9119428329049084,inf
-1100,0.8278951286142227,inf
-1075,0.8151974861451563,inf
-1050,0.8710927487062078,inf
-1025,1.0065764236247132,inf
-1000,0.9305232386233863,inf
-975,0.8655049632597078,inf
-950,0.8038879786647496,inf
-925,0.7355639867020017,inf
-900,0.5968791939820985,inf
-875,0.6216993340123116,inf
-850,0.7267737346257862,inf
-825,0.7258526356177156,inf
-800,0.5593203380614922,inf
-775,0.32465666473983423,inf
-750,0.24036398193118863,inf
-725,0.3592591049853617,inf
-700,0.34067570063238706,inf
-675,0.4065909311483413,inf
-650,0.3098378673567687,inf
-625,0.3853208308943646,inf
-600,0.373410388848547,inf
-575,0.3419115431904256,inf
-550,0.2907148333054893,inf
-525,0.21801029611113484,inf
-500,0.28061450077701855,inf
-475,0.4038892001991495,inf
-450,0.5931160809195636,inf
-425,0.8132625505218586,inf
-400,0.8649575015971933,0.11201750741993788
-375,0.8545323568843135,0.1090959942150932
-350,0.7916239886347434,0.10602869621499426
-325,0.6528651150707934,0.10292338387092377
-300,0.5398330871914251,0.10087217329638694
-275,0.4395796146749779,0.09897731360923732
-250,0.48825525033289496,0.09847346311278697
-225,0.4575528450039919,0.09969819138651255
-200,0.3668895478944873,0.10344257483918184
-175,0.30812446744053384,0.10874383113290936
-150,0.36097711106248925,0.11276109907373173
-125,0.4078552163235908,0.11439590242835546
-100,0.4501039497115614,0.1125842232280547
-75,0.5782884995675697,0.10846583171928967
-50,0.5979454456974599,0.1026580325439613
-25,0.5172237649099442,0.09821551324357289
0,0.5725709473758526,0.09770709066980147
25,0.7280203808630995,0.09979336046220538
50,0.9975119455692647,0.10279653415862017
75,0.9498677201511765,0.10319491105965624
100,0.9784041204955104,0.10261635203903098
125,0.9280101872766457,0.10091761385562986
150,0.9098769785143033,0.1002770683145008
175,0.9466026570792127,0.10227493349527013
200,0.938783502155672,0.10660541375805964
225,1.0039710316372157,inf
250,0.9025264552060882,inf
275,0.9814023245707664,inf
300,0.8706223981356896,inf
325,0.9112500506416867,inf
350,0.9597610394453887,inf
375,1.0171956433833278,inf
400,0.9853996849533011,inf
425,0.8896879242201934,inf
450,0.8667435781328026,inf
475,1.0145338422504533,inf
500,1.1267469617950843,inf
525,1.1205927111990297,inf
550,1.1132096034802552,inf
575,1.1766804819671348,inf
600,1.2461867492424064,inf
625,1.249447366350177,inf
650,1.2560103013058008,inf
675,1.2443101963803451,inf
700,1.257264989972449,inf
725,1.2399505037185792,inf
750,1.2607282186607602,inf
775,1.2651416523327388,inf
800,1.2033737021885067,inf
825,1.0320521168750987,inf
850,1.008380232688322,inf
875,1.064112815369007,inf
900,1.1429295354183526,inf
925,1.1411093098944873,inf
950,1.020637403523704,inf
975,1.0236706444194819,inf
1000,1.1822006312592164,inf
1025,1.2010135237802142,inf
1050,1.1863882965692327,inf
1075,1.239980468845895,inf
1100,1.2798224023619829,inf
1125,1.3094649232439612,inf
1150,1.393399716698257,inf
1175,1.381139846918817,inf
1200,1.2312741591439649,inf
1225,1.0841273592993175,inf
1250,1.0795462844035515,inf
1275,1.176244896828126,inf
1300,1.2448123451129791,inf
1325,1.2325698824885185,inf
1350,1.2025038326060222,inf
1375,1.0926750680957382,inf
1400,1.0549287595129617,inf
1425,1.120807232364883,inf
1450,1.285471533293501,inf
1475,1.3085602149745792,inf
1500,1.2052047373600367,inf
1525,1.0024880544307353,inf
1550,0.9791848520030434,inf
1575,1.1057304136435477,inf
1600,1.2196732140661075,inf
1625,1.2801164796340836,inf
1650,1.2381222586336023,inf
1675,1.245963413379068,inf
1700,1.145932448442441,inf
1725,1.2289758181126398,inf
1750,1.194148409239437,inf
1775,1.1455548307799488,inf
1800,1.088155248606514,inf
1825,1.0389786552495122,inf
1850,1.0354310039368937,inf
1875,0.9266269132837525,inf
1900,0.9711592936312524,inf
1925,1.0524896982888619,inf
1950,1.1401915007553811,inf
1975,1.215845880438699,inf
