Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.2176366257487246,0.13732839074445294
-1975,1.2055577774806214,0.13734047395581886
-1950,1.1816219147028242,0.13803265857009894
-1925,1.1465632517443922,0.1384956128095875
-1900,1.10936220937331,0.13879309435557316
-1875,0.9770505767730058,0.13838840695441734
-1850,0.9429922351462433,0.13805110925994438
-1825,0.8996271806822399,0.13712719323242045
-1800,0.9543229620731297,0.13728316892313253
-1775,0.9666128143076754,0.13722983035993708
-1750,1.0004052036109685,0.13674681129828153
-1725,1.0176353642470612,0.13650982566368283
-1700,1.0308752479245564,0.13599459327391042
-1675,0.9502581088871976,0.13491791285519855
-1650,0.9224899982847145,0.13374345414129185
-1625,0.9894184766215016,0.13414246518714965
-1600,1.0161393204947395,0.1346739371774595
-1575,1.0550423207177482,0.13566772858815393
-1550,1.1410673464544623,0.13727095840183576
-1525,1.194740832008325,0.13869088253685014
-1500,1.1637004543075233,0.13903080316623317
-1475,1.2347633916371732,0.14035342809189028
-1450,1.1686901509272412,0.14014201637174242
-1425,1.164852792126805,0.14008066333268093
-1400,1.1166374420383254,0.13914812925496214
-1375,1.1473564732531643,0.13908736986391138
-1350,1.1318338410352093,0.13808473939524377
-1325,1.1944889840582706,0.13776899671244383
-1300,1.2175754634336018,0.13758666978751652
-1275,1.2330588919333487,0.13780141837204604
-1250,1.2432587600886469,0.1385614719933557
-1225,1.1383773371835166,0.13777722687530156
-1200,1.0735792420874402,0.1369141979771157
-1175,1.0589918793164346,0.1361717598668756
-1150,0.9532053799158026,0.13396555481215852
-1125,0.9346356284265878,0.1325212287864627
-1100,0.9842354876044083,0.13241495088316466
-1075,1.073528287682846,0.13337075428326314
-1050,1.0875375274612276,0.13335575482006934
-1025,1.1171648544934476,0.13441332651246193
-1000,1.0989669150605008,0.13497912280320543
-975,1.0260806295049596,0.13525242600622261
-950,1.0289192290060034,0.13549415271002424
-925,1.029151674206439,0.1355012585180196
-900,1.0546350118711485,0.13543413357058318
-875,1.0889853370501055,0.13525833548068675
-850,1.0760365455189769,0.13357000994050225
-825,1.0564133222237089,0.1325387232095148
-800,1.010438999837317,0.13163228953674022
-775,1.0919978487681767,0.13277956589162923
-750,1.166152806223531,0.1342173916105527
-725,1.2767429521753684,0.13647343344662197
-700,1.3131732442527893,0.13763403751917203
-675,1.3446552133119738,0.13851270142315739
-650,1.3104515789438176,0.137729727751085
-625,1.2109744630255137,0.13568988935669093
-600,1.1536949955663591,0.1339444931300667
-575,1.1037373685955436,0.13227919029304427
-550,1.044709680106762,0.13095478341108674
-525,1.0351317284723371,0.1307913346676725
-500,1.0561747574979146,0.13154131581558584
-475,1.1523354223360969,0.13373139304966486
-450,1.255276712076063,0.13587435054423805
-425,1.2842217433232022,0.13638758412434726
-400,1.2689392356661595,0.13566615016037492
-375,1.2530086320373695,0.13464514890875864
-350,1.0952593486633027,0.13149891289901358
-325,1.0470092279048215,0.13001887695307718
-300,1.0127768188532766,0.12949664967775631
-275,0.8733528143410249,0.1282674129279437
-250,0.8854935606419393,0.12914941913814543
-225,0.9053801863868308,0.13021356908825749
-200,0.7955486333348799,0.12946579807323935
-175,0.7023317493636775,0.12888973507576498
-150,0.6537460090524099,0.12787821841426317
-125,0.45238560642674863,0.12400073910945221
-100,0.2949145343487777,0.12116769973627405
-75,0.1636999553722893,0.12003028098918393
-50,0.1271612735554885,0.11993137482456596
-25,0.085954578479987,0.12147236185305317
0,0.06658671894173811,0.12423446786978104
25,0.024292812885932963,0.1266470850501714
50,0.086070069408926,0.12744746602411147
75,0.05067255317696934,0.12617017730646646
100,0.07688985526054477,0.1238211481893529
125,0.06160662854100419,0.1208875506081332
150,0.10126571521734529,0.11828936176157279
175,0.10326223193406123,0.1175358482609199
200,0.1233264718515608,0.11790502049378923
225,0.1648414487242044,0.11928704042787494
250,0.3228882617644094,0.12159475651929295
275,0.4300901080247522,0.12376280080084492
300,0.6260447436088414,0.12583879076684348
325,0.7118157556893547,0.12592417060325337
