Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0168504366360462,0.07698093329809791
-1975,1.05054580455475,0.07843156533686953
-1950,1.011548631894947,0.07832241923887459
-1925,1.0000683818201481,0.07710394596090148
-1900,0.9882294275141694,0.07515305206937595
-1875,0.9621439472127745,0.07367554601017769
-1850,0.934302657763056,0.07321001485900476
-1825,0.9207196769097244,0.07344315595344493
-1800,0.9470324450384343,0.07379796864666714
-1775,1.0031806475473013,0.07430600602554732
-1750,1.0291735284629953,0.07454421884820306
-1725,1.0462700668400902,0.0745172157321849
-1700,1.0931122390577512,0.07431531378963073
-1675,1.1125067812416058,0.07387673354034885
-1650,1.0736137675609339,0.07331955366645448
-1625,0.999786324463222,0.07289999497852968
-1600,0.9732639037460122,0.07281161637509927
-1575,1.0068075430916323,0.07302408607728778
-1550,1.035755335237222,0.07322884816841516
-1525,1.0045588032275032,0.07327905563060164
-1500,1.0022264442799156,0.07388382045350274
-1475,1.0166048244818584,0.07509682498631413
-1450,1.035125486216254,0.0763757251328796
-1425,1.1149673245338225,0.07718520290185243
-1400,1.165254270639479,0.07721569181360777
-1375,1.1090521605088084,0.07639405059556942
-1350,0.999931618179852,0.07554843441897063
-1325,0.9855912145590943,0.07571969365719398
-1300,0.9585264196146664,0.07606339605601549
-1275,0.8852123827468528,0.07581648224580126
-1250,0.8236155693777668,0.07531724670382847
-1225,0.8809982119632005,0.07510301234412946
-1200,0.9941709745954389,0.07498767831090371
-1175,1.0342435835809622,0.07464320297242528
-1150,1.0843724807232258,0.07465417076527102
-1125,1.1606065650606907,0.0748884668814411
-1100,1.2077522590246859,0.07480917511923107
-1075,1.143116714130188,0.07401894318454084
-1050,1.0379983335189962,0.07300094270877887
-1025,0.9858715120907209,0.07254245251442956
-1000,0.9943533025724284,0.07294984886401633
-975,1.0598170660890744,0.07424408846157357
-950,1.0856254980591151,0.07564143171776935
-925,1.1135350195946259,0.07682876594560063
-900,1.077952376705975,0.07732523059223165
-875,1.0722030788807166,0.07774242290806764
-850,1.0837262182865568,0.07805316354747635
