Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.0310776118177845,0.06867165741442799
-1975,1.0707757924192463,0.06905753998111339
-1950,1.0496891992707447,0.06901145003596551
-1925,0.995828984616353,0.06852845156639611
-1900,1.0492914813805967,0.0675981601107223
-1875,1.056866953751861,0.06552291145317579
-1850,1.027049089619139,0.06415141255184315
-1825,1.0580960996222009,0.06431500217106517
-1800,1.0996509848637992,0.06425530414234108
-1775,1.0828078441108866,0.0645130340763356
-1750,1.0791752881659291,0.06434989554486115
-1725,1.1103330143757566,0.06437820342818056
-1700,1.1168502687813953,0.06452084618417107
-1675,1.0933260887958556,0.06469598942269805
-1650,1.1007887509378358,0.06522749534801503
-1625,1.1559283301039143,0.06615260965592536
-1600,1.143076388164614,0.06672723812341814
-1575,1.0512525633234733,0.06666362903256311
-1550,1.079531023823151,0.06657918967268157
-1525,1.0422239918487295,0.06612604439827632
-1500,1.1031685688079058,0.06539661109288285
-1475,1.059863154341393,0.06480684002733747
-1450,1.0528808743227729,0.06445176337769834
-1425,1.13251874312919,0.06462951267477018
-1400,1.0733574765323952,0.06454600807467555
-1375,1.0704725796884829,0.0655221470660194
-1350,1.094073345495131,0.06507625796526659
-1325,1.1221468734207765,0.06509458373421947
-1300,1.1194815978181507,0.06458865930706785
-1275,1.1320752285183986,0.06427133338597125
-1250,1.068835746340281,0.06404029243347048
-1225,1.0620535641407662,0.06528931493042889
-1200,1.0918997245961748,0.06704739112045731
-1175,1.0736057682467024,0.06739501609766935
-1150,1.0772039331588357,0.0678597142830974
-1125,1.1245210742968732,0.06852414157947145
-1100,1.068546972215537,0.06763768602923932
-1075,1.1143094412965295,0.06603807781624689
-1050,1.1208830985933549,0.06519725392886358
-1025,1.1505114296491474,0.06502366366954028
-1000,1.108921366808808,0.06471269200237677
-975,1.0775568446863537,0.06480357357816262
-950,1.05350547248995,0.06457370379595745
-925,1.0534481027579845,0.06493128165495152
-900,1.088566029116577,0.06510554201679099
-875,1.1439119091921135,0.06484084406303114
-850,1.1367571163999628,0.06474940883933972
-825,1.1549968898302907,0.06455204011044202
-800,1.1282267219088278,0.06459318243611474
-775,1.157616971724118,0.0657819599679147
-750,1.2386409955317907,0.07034613809124919
-725,1.214842980568402,0.0755125211236732
-700,1.2186910399870068,0.07727269558154803
-675,1.1977322081009614,0.07744041386772682
-650,1.2108447594312166,0.07719164603744365
-625,1.1005160573667805,0.07428823067270067
-600,1.0780782327476686,0.0677566553556235
-575,1.1757152556934494,0.06517133513037915
-550,1.0865857859738666,0.06430267536594632
-525,1.153032161066839,0.06469333543015189
-500,1.1627549756776814,0.06490704131537052
-475,1.1159524488908945,0.06500605523355577
-450,1.0450756757851032,0.06476053446422612
-425,0.996420494390113,0.06444294505806576
-400,0.9894495519266648,0.06439298824164025
-375,1.0251493887958298,0.06447158712764618
-350,0.9662607531401652,0.0642015220124022
-325,0.975721228982357,0.0641230734119733
-300,0.8942604633707938,0.06354984770712765
-275,0.8392466240647471,0.06394838632011421
-250,0.772780057169681,0.06558411675802253
-225,0.7681706325790755,0.06727034462506437
-200,0.7314944511064084,0.06684679079316926
-175,0.6232963267810682,0.06629392952629594
-150,0.6053987405168202,0.06568149183164657
-125,0.5549014983057856,0.06419223394427208
-100,0.39908617244837696,0.06139914242815655
-75,0.39354879578697655,0.06010754199374806
-50,0.36806478085357114,0.060401962147601705
-25,0.3631104096054419,0.06030707398936884
0,0.4622555311836688,0.061408934667670216
25,0.5180094529988452,0.06173111658938071
50,0.5173349256528689,0.06217365406882466
75,0.5922220180695154,0.06213328948731423
100,0.5782165380478078,0.06184952658422874
125,0.6092126658282522,0.06210475585365837
150,0.5894547443854132,0.06306618070771772
175,0.5392541904011429,0.06985707511266223
200,0.4897524709523446,0.07444720401413707
225,0.3176559622924352,0.07483421657481612
250,0.2614616985574463,0.07443457686283304
275,0.24550908795244786,0.07319741991688988
300,0.18136905541208134,0.06820940996764246
325,0.1599944338817957,0.061746550094645226
350,0.1850566607333182,0.05942989845146332
375,0.27740181471695746,0.05981680289997778
400,0.3921499070402469,0.06101509319063405
425,0.46039162412967694,0.06187662304898769
450,0.6458894469920397,0.06264528784532629
475,0.7681276989143269,0.06335301135468274
500,0.9840777740044392,0.06403769644345118
525,1.08750149908612,0.06476565168204942
550,1.128144116301741,0.06480372923203065
575,1.098347598447251,0.06510734217759498
600,1.1401875759404416,0.0650988722809605
625,1.0140674761495598,0.06417741705388982
650,1.1106977659343336,0.06437886544957547
675,1.030046857610357,0.06442766661498321
700,0.9941732389052629,0.06452699233526493
725,1.0170144150061207,0.06519159899740297
750,1.0341791856351952,0.06696845067841499
775,0.9941337874517944,0.07394927938855297
800,1.041761940625501,0.0818380918064609
825,0.9725449996725835,0.08506934089332946
850,0.9482576179354439,0.09436512337633655
875,0.8940560412940042,0.10403840009866559
900,0.8653769167138973,0.10529112089032248
925,0.792791734556478,0.10301060445594486
950,0.9360394657838395,0.10256849501271637
975,0.8104313139130558,0.09683276793601787
1000,0.9130842224404484,0.08382881266944782
1025,0.8335251385557816,0.07667485180641215
1050,0.8397549487236141,0.0733001842804392
1075,0.9751903715418025,0.07258865682863587
1100,1.048012917181608,0.073335369013108
1125,0.9860350691011168,0.07511605075528295
1150,0.9455970134630459,0.07808114865663165
1175,0.7865338286957487,0.07828006895873074
1200,0.8830303947140796,0.07654271369819757
1225,0.9274156078905161,0.07728753547446786
1250,1.003579505609887,0.07964299760088232
1275,0.9693220904968308,0.07756342901875277
1300,0.9046861452076416,0.07575359454383505
1325,0.9170032801772522,0.07505777174420801
1350,0.8457509407917372,0.0724555101574216
1375,0.9744926195822253,0.06723435601106065
1400,0.9595454863512123,0.06564483366466564
1425,0.9158580019694122,0.06616701957927876
1450,0.9066715628298923,0.06727625453792883
1475,0.9165353971100173,0.06816407311882094
1500,0.8844490645170886,0.06881938889155952
1525,0.8243221980730445,0.0685394374840036
1550,0.9703190307510952,0.06795193339243953
1575,0.8795000487765675,0.06614062126232761
1600,0.9811756291833016,0.06559140594131639
1625,0.9535917234126727,0.0653837728044941
1650,0.9267853869858347,0.06514545435279524
1675,0.956475233497375,0.06504657276216518
1700,1.0363180669690797,0.06517121089671735
1725,0.9550320249897664,0.06514203278561118
1750,0.8738747243116135,0.06417633416255698
1775,1.0350950187073762,0.06512937303899151
1800,1.0061129615245932,0.06527538138283086
1825,1.0374068260619982,0.06570023946161942
1850,0.9873454024194221,0.06668328313706533
1875,0.9807313984343793,0.07021850233682843
1900,0.960435312615691,0.07915958426662716
1925,0.8702605497497198,0.09762452866804495
1950,1.1013704718765491,0.10799119800502181
1975,0.9688726603765473,0.10890350297153666
