Velocity(km/s),Flux(Normalized),Error(1sigma)
-2000,1.124745882364937,0.14832859236325308
-1975,1.15148658393583,0.14835372901174368
-1950,1.1470117564213134,0.14850655087520814
-1925,1.077187857441067,0.14839007384823993
-1900,0.9670880468402064,0.14778098457009609
-1875,0.7970513759847837,0.1470601858365711
-1850,0.947495161300458,0.14766033205835882
-1825,1.1827936483467547,0.14834563772704856
-1800,1.3015670161965736,0.149123975951391
-1775,1.1146929426349665,0.1490501632554942
-1750,1.0037065498993911,0.14955765403497548
-1725,1.010893228679408,0.15030841013684604
-1700,1.0523278030242404,0.15095414439326316
-1675,0.9370105872462917,0.15090822442181118
-1650,1.0371656191219785,0.15126037624517139
-1625,1.04199213861489,0.1520890970926051
-1600,1.1914856628871882,0.15244663567208663
-1575,1.189429486841824,0.1525893709671659
-1550,1.2347129136005788,0.15323760807580156
-1525,1.1508174375218017,0.15408170716340758
-1500,1.0154948946656084,0.15413034138634688
-1475,1.0524652796524072,0.15414419630088197
-1450,1.1627628834268822,0.1539784365122959
-1425,1.2341539737528493,0.15318488496916954
-1400,1.1703006614601097,0.1515248011718904
-1375,1.061929670580366,0.14971082196568283
-1350,1.1165452889281797,0.14987133406038022
-1325,1.193761950761184,0.15095217855441767
-1300,1.1733713616898567,0.15108847081647678
-1275,1.108235351707934,0.14992104041079957
-1250,1.1555271662305378,0.14883984107618417
-1225,1.105945493093578,0.14814111243872058
-1200,1.2187143701951169,0.14928099042933554
-1175,1.2392400352926842,0.15102345466220385
-1150,1.21124405752469,0.1517090931147214
-1125,1.16758020425431,0.15156889683958963
-1100,1.209240717529326,0.15205869739057817
-1075,1.3010636041021066,0.15328662628320958
-1050,1.3168555620784752,0.1531010291643958
-1025,1.2473242240558367,0.1516237826777118
-1000,1.1213099664773136,0.15090573423523168
-975,1.1193066853172058,0.15184597001966713
-950,1.1858814825235529,0.15288644204068907
-925,1.19101620746873,0.15261293947951293
-900,1.188051259679083,0.15198766460874813
-875,1.212432979925732,0.15171886477602128
-850,1.2209494711446038,0.15194538300172034
-825,1.3059714216965312,0.15268234604199502
-800,1.3626640191192116,0.15336723314544373
-775,1.2740956838825026,0.15186073538599631
-750,1.0624934687034289,0.14998965788808605
-725,0.9133729208711223,0.14791298367306957
-700,0.8963504486113998,0.14762549699467015
-675,1.016946020380618,0.14836867887148422
-650,1.115708192647107,0.15001127214449536
-625,1.1677582405576648,0.15014631350072144
-600,0.9197650635658505,0.15023438912907872
-575,0.7430044890570687,0.14946411207158805
-550,0.613432007591767,0.14928652235110856
-525,0.620640510790187,0.1486433783099963
-500,0.660566626507161,0.14833121220364923
-475,0.754961859853648,0.14846945368102682
-450,0.8250666233879216,0.148748804043919
-425,0.8618368204292721,0.14851767604977092
-400,0.7517682870255741,0.1479476670679402
-375,0.7255496796935942,0.14811465524170578
-350,0.5755623217064869,0.1475203197246587
-325,0.5269707874524263,0.14727535415126608
-300,0.611180097792554,0.1471871862550839
-275,0.6285316390397001,0.14658545964135553
-250,0.5121976294055769,0.1451218791960931
-225,0.33693838171419005,0.14414370061069706
-200,0.2866191454679652,0.14498524390846068
-175,0.28104721286689766,0.14511698337000814
-150,0.29681168960363086,0.14591245335742795
-125,0.2383075462963835,0.14456551942149581
-100,0.1766591510589312,0.1435648465499624
-75,0.3443782596746768,0.14378743438318015
-50,0.514595540767606,0.1451110312441869
-25,0.5310296025285162,0.14606451055019093
0,0.4739890181178519,0.14580772900114597
25,0.5980845631784047,0.14686265873343085
50,0.7236934544592211,0.14672674857862278
75,0.787388892490414,0.14706956789817763
100,0.9142055203401207,0.14692807130398258
125,0.9036879429904391,0.14700211734273239
150,0.7784481721988943,0.1466353301799951
175,0.78000378884669,0.1467781415337094
200,0.985366768792662,0.14710764720513897
225,1.1073079615546617,inf
250,1.1665402550561568,inf
275,1.0343100832829832,inf
300,0.962304353572496,inf
325,0.9795876823754562,inf
350,1.128330500366472,inf
375,1.2283372246436755,inf
400,1.3170965095555769,inf
425,-1.4972025077417589e+27,inf
450,-4.185926525609436e+28,inf
475,-4.183998777749083e+28,inf
500,-2.5151617833027054e+28,inf
525,0.7509806481940687,inf
550,0.8400177758942378,inf
575,0.8710819835439713,inf
600,0.9317692702717855,inf
625,0.6584341820843752,inf
650,0.6536501344205727,inf
675,0.7713491117485813,inf
700,0.9643449558958568,inf
725,0.9023440940726394,inf
750,0.7556404554395036,inf
775,0.8003780224682155,inf
800,0.8386944852742741,inf
825,0.8826693589080566,inf
850,0.8514330649030003,inf
875,0.9429838833424284,inf
900,0.8378825955392228,inf
925,0.9597252890964924,inf
950,1.1147934786736817,inf
975,1.0550714999859296,inf
